pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.580451,2.3551712036132812,47,0.012350022,36,57,2881,1.0035684,-1.354718,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,8.292523,1.9944390058517456,41,0.20225666,22,60,2881,16.441006,-4.2081146,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,0.009192944,1.485296368598938,31,0.00029654655,11,51,2881,2.607825,-1.7482802,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,24.133804,1.6448884010314941,34,0.70981777,19,49,2881,24.967459,-5.9844065,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,4.9825,1.47955322265625,31,0.1607258,14,47,2881,4.311879,-3.060485,31,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,1.5279281,1.9359890222549438,40,0.038198203,20,60,2881,1.9666655,-1.8480668,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,4.0057645,1.8621091842651367,39,0.10271191,21,57,2881,2.430739,-1.384735,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,10.437358,1.7895033359527588,37,0.28209075,17,57,2881,9.12299,-3.6077447,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-6.914792,0.8720681071281433,18,-0.38415512,8,28,2881,15.36742,-32.4629,18,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,9.559355,1.0422502756118774,22,0.43451613,7,37,2881,9.933279,-2.8532436,22,0,0,15.0,15.0,14.999999046325684,15.0
DOTUSDC-KDAUSDT,01/31-05/31,5.9886017,1.9134998321533203,40,0.14971504,18,62,2881,8.196598,-4.3029675,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-1.9849751,1.3597694635391235,29,-0.06844742,14,43,2881,4.570761,-3.810183,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,0.8343407,1.9181079864501953,40,0.020858517,26,54,2881,2.7131782,-3.1924598,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,-1.4517704,1.8733717203140259,40,-0.03629426,20,59,2881,4.36063,-6.3344536,40,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-12.732617,1.3959001302719116,29,-0.43905577,12,46,2881,2.0742111,-6.8656883,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,55.857742,1.7151607275009155,34,1.6428747,20,48,2881,28.307234,-4.8708825,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,0.19457167,1.8715624809265137,39,0.0049890173,22,56,2881,1.5094368,-2.2343097,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,0.3553276,1.725797414779663,36,0.009870212,17,55,2881,4.186158,-3.6280475,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,0.48061204,1.150668978691101,24,0.020025501,10,38,2881,3.1535764,-1.8823004,24,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-4.7441654,1.6244208812713623,34,-0.13953428,13,55,2881,3.8844311,-2.8303394,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,7.3488283,1.9760425090789795,41,0.17923972,27,55,2881,1.9249632,-5.4659333,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,-1.1569885,1.2111315727233887,25,-0.04627954,9,41,2881,3.816454,-2.118016,25,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,0.27472568,1.6185078620910645,34,0.008080167,16,52,2881,1.5636076,-2.6070867,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-13.674963,1.9911019802093506,42,-0.32559437,17,66,2881,2.5069475,-4.600049,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,8.757963,3.021066665649414,44,0.19904462,23,65,2881,2.7994316,-0.33348274,44,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
FTTUSDT-KSMUSDT,03/02-06/30,-15.469452,2.2012224197387695,41,-0.37730372,18,64,2881,12.740356,-22.880438,41,0,0,16.380813598632812,16.380813598632812,16.380813598632812,16.380815505981445
CRVUSDT-KDAUSDT,03/02-06/30,2.2389078,1.9847880601882935,38,0.058918625,21,55,2881,8.944749,-7.286571,38,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
ETCUSDT-JUVUSDT,03/02-06/30,-14.855881,1.9134384393692017,35,-0.42445374,19,51,2881,29.959095,-19.388964,35,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
DOTUSDT-KDAUSDT,03/02-06/30,9.9569435,2.1802175045013428,40,0.24892358,20,60,2881,6.661395,-3.0379064,40,0,0,16.380813598632812,16.380813598632812,16.380813598632812,16.380815505981445
CRVUSDT-DOTUSDT,03/02-06/30,-10.689178,1.8489692211151123,34,-0.3143876,17,51,2881,3.0172389,-6.138496,34,0,0,16.380813598632812,16.380813598632812,16.380813598632812,16.380815505981445
ATOMUSDT-KCALUSDT,03/02-06/30,-34.440742,2.186279773712158,42,-0.8200177,22,61,2881,3.4126246,-16.123114,42,0,0,16.380813598632812,16.380815505981445,16.380813598632812,16.380815505981445
DOTUSDC-KDAUSDT,03/02-06/30,-7.214569,2.0669567584991455,39,-0.18498895,16,62,2881,4.119186,-5.0053573,39,0,0,16.38081169128418,16.380815505981445,16.380813598632812,16.380815505981445
GMTUSDC-HOOKUSDT,03/02-06/30,-42.74641,2.505582571029663,45,-0.94992024,22,68,2881,14.884996,-47.57559,45,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
CITYUSDT-IZIUSDT,03/02-06/30,-14.206973,2.081409454345703,40,-0.35517433,20,59,2881,14.119816,-14.313075,40,0,0,16.380813598632812,16.380813598632812,16.380813598632812,16.380815505981445
DYDXUSDT-KSMUSDT,03/02-06/30,27.353882,2.0300068855285645,38,0.719839,18,58,2881,26.507639,-10.6909275,38,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
GMTUSDT-HOOKUSDT,03/02-06/30,-11.120768,2.272817373275757,42,-0.2647802,20,64,2881,14.735719,-28.03835,42,0,0,16.380813598632812,16.380815505981445,16.380813598632812,16.380815505981445
ATOMUSDT-GODSUSDT,03/02-06/30,-31.526865,1.9903007745742798,38,-0.82965434,19,57,2881,5.179196,-21.54496,38,0,0,16.38081169128418,16.380815505981445,16.380813598632812,16.380815505981445
CRVUSDT-HFTUSDC,03/02-06/30,-2.740119,2.100916862487793,39,-0.07025946,17,61,2881,10.397186,-17.891026,39,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
CELOUSDT-FLOWUSDT,03/02-06/30,11.539149,2.070298671722412,40,0.28847873,25,54,2881,4.6135254,-3.684089,40,0,0,16.380813598632812,16.380813598632812,16.380813598632812,16.380815505981445
DOTUSDC-FTTUSDT,03/02-06/30,9.034145,2.0927164554595947,40,0.22585364,16,64,2881,15.493715,-5.2945843,40,0,0,16.380813598632812,16.380815505981445,16.380813598632812,16.380815505981445
CRVUSDT-HFTUSDT,03/02-06/30,13.881491,1.9658689498901367,37,0.37517542,16,58,2881,14.002318,-2.4014554,37,0,0,16.38081169128418,16.380813598632812,16.380813598632812,16.380815505981445
GODSUSDT-KCALUSDT,03/02-06/30,43.29228,1.5155458450317383,27,1.6034178,10,43,2881,31.764202,-11.743409,27,0,0,16.380813598632812,16.380813598632812,16.380813598632812,16.380815505981445
DOTUSDT-FTTUSDT,03/02-06/30,2.9804635,2.1039438247680664,40,0.07451159,17,63,2881,15.142343,-7.679428,40,0,0,16.380813598632812,16.380815505981445,16.380813598632812,16.380815505981445
FLOWUSDT-JSTUSDT,03/02-06/30,-18.282732,2.0357260704040527,39,-0.468788,18,60,2881,2.0341134,-8.213879,39,0,0,16.38081169128418,16.380815505981445,16.380813598632812,16.380815505981445
CELOUSDT-ENJUSDT,03/02-06/30,-46.344955,2.138960361480713,40,-1.1586239,15,64,2881,4.753452,-20.831776,40,0,0,16.380813598632812,16.380815505981445,16.380813598632812,16.380815505981445
AXSUSDT-DOTUSDT,03/02-06/30,-11.741165,2.022843360900879,38,-0.30897802,15,61,2881,6.2113843,-5.7551126,38,0,0,16.38081169128418,16.380815505981445,16.380813598632812,16.380815505981445
GLMRUSDT-KCALUSDT,03/02-06/30,-18.243927,1.314281702041626,26,-0.7016895,7,44,2881,2.4844909,-13.438323,26,0,0,16.380813598632812,16.380815505981445,16.380813598632812,16.380815505981445
CTCUSDT-ERTHAUSDT,03/02-06/30,92.473724,1.9220645427703857,35,2.6421063,18,51,2881,95.06193,-13.02933,35,0,0,16.38081169128418,16.380815505981445,16.380813598632812,16.380815505981445
BTCUSDC-BTCUSDT,04/01-07/30,18.632475,3.3706963062286377,63,0.29575357,52,73,2881,2.4092863,-0.25262523,63,0,0,15.380050659179688,15.380047798156738,15.380046844482422,15.380048751831055
APEUSDT-GODSUSDT,04/01-07/30,16.835377,1.4121917486190796,28,0.60126346,11,45,2881,23.400787,-13.954052,28,0,0,15.380045890808105,15.380047798156738,15.380046844482422,15.380048751831055
CRVUSDT-HFTUSDC,04/01-07/30,10.272352,1.4564485549926758,30,0.34241173,13,47,2881,5.430929,-3.4239805,30,0,0,15.380045890808105,15.380047798156738,15.380046844482422,15.380048751831055
ETCUSDT-JUVUSDT,04/01-07/30,42.705704,1.2464125156402588,24,1.7794043,11,37,2881,22.387108,-3.0850554,24,0,0,15.380047798156738,15.380047798156738,15.380046844482422,15.380048751831055
APEUSDC-HFTUSDC,04/01-07/30,23.349716,1.8963096141815186,38,0.6144662,14,61,2881,39.635014,-10.050575,38,0,0,15.380049705505371,15.380047798156738,15.380046844482422,15.380048751831055
1INCHUSDT-ACSUSDT,04/01-07/30,-7.985707,1.4940786361694336,30,-0.26619023,10,50,2881,7.1757793,-2.9247217,30,0,0,15.380045890808105,15.380047798156738,15.380047798156738,15.380048751831055
ETHUSDC-ETHUSDT,04/01-07/30,7.7556524,3.2529096603393555,65,0.11931773,54,76,2881,1.8249923,-0.15555944,65,0,0,15.380048751831055,15.380047798156738,15.380046844482422,15.380048751831055
APEUSDT-HFTUSDC,04/01-07/30,42.800507,1.926741123199463,39,1.097449,16,61,2881,38.132675,-9.896535,39,0,0,15.380050659179688,15.380047798156738,15.380046844482422,15.380048751831055
CRVUSDT-DOTUSDT,04/01-07/30,0.34198093,1.9701642990112305,40,0.008549524,19,61,2881,5.156591,-1.8543713,40,0,0,15.380047798156738,15.380047798156738,15.380046844482422,15.380048751831055
ATOMUSDT-GODSUSDT,04/01-07/30,-33.06852,1.9756807088851929,39,-0.84791076,20,57,2881,15.777541,-29.925167,39,0,0,15.380050659179688,15.380047798156738,15.380046844482422,15.380048751831055
FTTUSDT-KSMUSDT,04/01-07/30,-16.017147,1.8073540925979614,37,-0.43289587,17,56,2881,5.232168,-7.341299,37,0,0,15.380049705505371,15.380047798156738,15.380046844482422,15.380048751831055
AVAUSDT-FITFIUSDT,04/01-07/30,-6.6282196,1.1441593170166016,23,-0.28818345,7,39,2881,5.416179,-4.1282377,23,0,0,15.380044937133789,15.380047798156738,15.380046844482422,15.380048751831055
FILUSDT-JUVUSDT,04/01-07/30,-3.662728,1.2278318405151367,25,-0.14650913,8,42,2881,2.4268172,-1.7248708,25,0,0,15.380047798156738,15.380047798156738,15.380047798156738,15.380048751831055
FLOWUSDT-HVHUSDT,04/01-07/30,-1.7144554,1.3548513650894165,27,-0.06349835,8,46,2881,3.6083598,-2.166792,27,0,0,15.380046844482422,15.380047798156738,15.380046844482422,15.380048751831055
CRVUSDT-KDAUSDT,04/01-07/30,9.581954,1.3942309617996216,28,0.34221265,13,43,2881,4.187578,-1.2968755,28,0,0,15.380045890808105,15.380047798156738,15.380046844482422,15.380048751831055
DOTUSDC-FTTUSDT,04/01-07/30,-18.573803,1.4002315998077393,28,-0.6633501,7,49,2881,2.2081723,-5.355291,28,0,0,15.380045890808105,15.380047798156738,15.380046844482422,15.380048751831055
DYDXUSDT-KSMUSDT,04/01-07/30,-22.023378,1.4812908172607422,29,-0.75942683,9,49,2881,5.2422976,-16.238426,29,0,0,15.380045890808105,15.380047798156738,15.380046844482422,15.380048751831055
HFTUSDC-KDAUSDT,04/01-07/30,61.501015,1.6506648063659668,34,1.8088534,20,47,2881,27.256474,-9.323277,34,0,0,15.380047798156738,15.380047798156738,15.380046844482422,15.380048751831055
DOTUSDT-FTTUSDT,04/01-07/30,-5.646137,1.287156343460083,26,-0.21715912,8,44,2881,8.373931,-5.466706,26,0,0,15.380046844482422,15.380047798156738,15.380046844482422,15.380048751831055
AVAUSDT-KASTAUSDT,04/01-07/30,-21.914993,1.9599510431289673,39,-0.5619229,15,63,2881,4.8971334,-8.249613,39,0,0,15.380050659179688,15.380047798156738,15.380046844482422,15.380048751831055
BICOUSDT-KASTAUSDT,04/01-07/30,349.17853,1.650217056274414,26,13.429943,9,43,2881,181.66484,-6.58633,26,0,0,15.380046844482422,15.380047798156738,15.380047798156738,15.380048751831055
APEUSDC-GODSUSDT,04/01-07/30,1.0598311,1.4145060777664185,28,0.037851114,12,44,2881,14.783215,-13.102607,28,0,0,15.380045890808105,15.380047798156738,15.380047798156738,15.380048751831055
CRVUSDT-HFTUSDT,04/01-07/30,2.7531917,1.4222142696380615,29,0.094937645,10,48,2881,3.1223733,-2.016619,29,0,0,15.380045890808105,15.380047798156738,15.380046844482422,15.380048751831055
CTCUSDT-ERTHAUSDT,04/01-07/30,-19.831968,1.227176547050476,24,-0.82633203,7,41,2881,3.7296078,-5.933869,24,0,0,15.380047798156738,15.380047798156738,15.380046844482422,15.380048751831055
BTCUSDC-BTCUSDT,05/01-08/29,9.018227,4.896690368652344,63,0.14314646,25,100,2881,2.8868608,-1.122755,63,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
FILUSDT-JUVUSDT,05/01-08/29,-30.547571,2.8314685821533203,40,-0.7636893,13,67,2881,3.873141,-10.9283285,40,0,0,21.8255672454834,21.8255672454834,21.825565338134766,21.8255672454834
CTCUSDT-GALFTUSDT,05/01-08/29,-48.01569,1.588972806930542,23,-2.0876386,7,39,2881,9.40578,-20.451641,23,0,0,21.825563430786133,21.8255672454834,21.825565338134766,21.8255672454834
ETCUSDT-JUVUSDT,05/01-08/29,99.504105,3.2894020080566406,42,2.3691454,19,64,2881,115.95686,-19.217299,42,0,0,21.8255672454834,21.8255672454834,21.825565338134766,21.8255672454834
AFCUSDT-C98USDT,05/01-08/29,54.189575,2.0352535247802734,28,1.935342,16,39,2881,37.870136,-57.232243,28,0,0,21.825565338134766,21.825565338134766,21.825565338134766,21.8255672454834
CELOUSDT-FLOWUSDT,05/01-08/29,-7.1875973,2.0288543701171875,29,-0.24784818,13,45,2881,12.103694,-40.842075,29,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
ETHUSDC-ETHUSDT,05/01-08/29,1.9701916,4.222827911376953,57,0.034564763,24,90,2881,1.7593021,-0.18472436,57,0,0,21.825565338134766,21.825565338134766,21.825565338134766,21.8255672454834
DYDXUSDT-KSMUSDT,05/01-08/29,-10.147972,1.9478577375411987,28,-0.36242756,10,46,2881,5.7695045,-12.071068,28,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
CELOUSDT-ENJUSDT,05/01-08/29,-56.005783,1.8110051155090332,25,-2.2402313,13,37,2881,6.4349008,-33.271797,25,0,0,21.8255672454834,21.8255672454834,21.825565338134766,21.8255672454834
ATOMUSDT-GODSUSDT,05/01-08/29,72.15223,2.9403879642486572,40,1.8038057,19,61,2881,92.88806,-10.327211,40,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
FLOWUSDT-JUVUSDT,05/01-08/29,15.333775,2.7208664417266846,39,0.3931737,16,61,2881,23.478128,-9.967553,39,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
BICOUSDT-ETHWUSDT,05/01-08/29,-44.36792,2.7691121101379395,38,-1.1675768,16,60,2881,7.8465643,-20.206533,38,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
DOTUSDC-FTTUSDT,05/01-08/29,10.841868,2.9211058616638184,42,0.25813973,21,62,2881,8.038949,-15.420701,42,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
CRVUSDT-HFTUSDT,05/01-08/29,-9.099853,2.0023183822631836,29,-0.31378803,11,47,2881,1.7446197,-8.683635,29,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
HFTUSDC-KDAUSDT,05/01-08/29,56.049202,1.988357663154602,29,1.9327312,16,42,2881,43.74986,-17.832031,29,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
DOTUSDT-FTTUSDT,05/01-08/29,5.2500668,3.0900278091430664,44,0.1193197,20,67,2881,8.783802,-15.621721,44,0,0,21.8255672454834,21.8255672454834,21.825565338134766,21.8255672454834
CRVUSDT-HFTUSDC,05/01-08/29,-6.3214865,2.014340400695801,29,-0.21798229,11,47,2881,3.63356,-8.891701,29,0,0,21.825565338134766,21.8255672454834,21.825565338134766,21.8255672454834
