pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.8347525,3.1315064430236816,47,0.017760692,37,56,2881,1.3380913,-1.8062906,47,0,0,20.0,20.0,19.999998092651367,20.000001907348633
CAKEUSDT-FIDAUSDT,01/31-05/31,11.298469,2.5315585136413574,39,0.28970432,20,58,2881,21.92134,-5.61082,39,0,0,20.0,20.0,19.999998092651367,20.0
CRVUSDT-HFTUSDT,01/31-05/31,4.1555433,1.7977042198181152,28,0.14841226,11,45,2881,3.4771,-1.7705193,28,0,0,20.0,20.0,20.0,20.0
ETCUSDT-JUVUSDT,01/31-05/31,25.268646,2.081918954849243,32,0.7896452,14,50,2881,33.289944,-7.9792085,32,0,0,20.0,20.0,19.999998092651367,20.0
FTTUSDT-KSMUSDT,01/31-05/31,8.78097,1.8708436489105225,29,0.30279204,14,44,2881,5.749172,-4.0806465,29,0,0,20.0,20.0,20.0,20.0
AGLDUSDT-HFTUSDC,01/31-05/31,2.4958282,2.580840587615967,40,0.062395703,20,60,2881,2.6222208,-2.4640892,40,0,0,20.0,20.0,19.999998092651367,20.000001907348633
AXSUSDT-DOTUSDT,01/31-05/31,6.293843,2.427661418914795,38,0.16562743,20,56,2881,3.2046375,-1.8463132,38,0,0,20.0,20.0,20.0,20.0
DOTUSDT-KDAUSDT,01/31-05/31,8.504214,2.3474977016448975,37,0.22984363,15,59,2881,12.56339,-4.810326,37,0,0,20.0,20.0,20.0,20.000001907348633
CTCUSDT-ERTHAUSDT,01/31-05/31,-76.383194,1.2338879108428955,17,-4.4931293,8,26,2881,20.489893,-105.242096,17,0,0,20.0,20.0,20.0,20.0
ATOMUSDT-KCALUSDT,01/31-05/31,13.410048,1.3261862993240356,21,0.6385737,7,35,2881,13.244372,-3.8043246,21,0,0,20.0,20.0,20.0,20.0
DOTUSDC-KDAUSDT,01/31-05/31,7.770954,2.4878506660461426,39,0.19925523,17,61,2881,10.928798,-5.73729,39,0,0,20.0,20.0,19.999998092651367,20.000001907348633
FLOWUSDT-JSTUSDT,01/31-05/31,-3.1703165,1.5566520690917969,25,-0.12681265,10,39,2881,6.0943484,-5.080244,25,0,0,20.0,20.0,20.0,20.0
ATOMUSDT-GODSUSDT,01/31-05/31,11.938993,2.378999948501587,37,0.3226755,25,49,2881,6.310223,-4.256613,37,0,0,20.0,20.0,19.999998092651367,20.000001907348633
DYDXUSDT-KCALUSDT,01/31-05/31,16.418797,2.379404067993164,38,0.4320736,18,57,2881,18.669104,-8.445938,38,0,0,20.0,20.0,19.999998092651367,20.0
CRVUSDT-KDAUSDT,01/31-05/31,-19.635813,1.803666591644287,28,-0.70127904,11,45,2881,2.7656147,-9.154251,28,0,0,20.0,20.0,20.0,20.0
CITYUSDT-IZIUSDT,01/31-05/31,74.202194,2.282593250274658,34,2.1824174,20,48,2881,37.742977,-6.4945097,34,0,0,20.0,20.0,20.0,20.000001907348633
DYDXUSDT-KSMUSDT,01/31-05/31,-1.6684911,2.4193859100341797,38,-0.04390766,20,56,2881,2.0125825,-2.375967,38,0,0,20.0,20.0,19.999998092651367,20.000001907348633
AVAUSDT-KASTAUSDT,01/31-05/31,-3.363331,2.358940362930298,37,-0.09090084,15,59,2881,5.581544,-4.8373966,37,0,0,20.0,20.0,19.999998092651367,20.0
DOTUSDT-FTTUSDT,01/31-05/31,4.806367,1.3626861572265625,21,0.22887461,8,34,2881,4.9796844,-2.509734,21,0,0,20.0,20.0,20.0,20.000001907348633
BLURUSDT-LDOUSDT,01/31-05/31,-6.0662274,2.165800094604492,34,-0.17841846,13,55,2881,5.1792417,-3.7737858,34,0,0,20.0,20.0,20.0,20.0
APEXUSDC-AVAUSDT,01/31-05/31,17.248264,2.5148115158081055,39,0.4422632,26,52,2881,2.5666177,-1.3808062,39,0,0,20.0,20.0,19.999998092651367,20.0
DOTUSDC-FTTUSDT,01/31-05/31,-0.5378319,1.4840075969696045,23,-0.023383996,8,38,2881,5.0886054,-2.8240213,23,0,0,20.0,20.0,20.0,20.0
CRVUSDT-HFTUSDC,01/31-05/31,-6.6608925,1.9176528453826904,30,-0.22202975,13,47,2881,2.08481,-3.9047923,30,0,0,20.0,20.0,20.0,20.0
CRVUSDT-DOTUSDT,01/31-05/31,-19.64255,2.5842971801757812,41,-0.47908658,16,65,2881,3.3425965,-6.133399,41,0,0,20.0,20.0,19.999998092651367,20.000001907348633
ETHUSDC-ETHUSDT,03/02-06/30,10.478466,3.9302756786346436,45,0.2328548,25,65,2881,3.6787255,-0.43822876,45,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
FTTUSDT-KSMUSDT,03/02-06/30,-64.71074,2.7411797046661377,39,-1.6592497,17,61,2881,13.480439,-32.938473,39,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
CRVUSDT-KDAUSDT,03/02-06/30,4.1743703,2.6056957244873047,38,0.10985185,22,54,2881,11.754271,-9.575263,38,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
ETCUSDT-JUVUSDT,03/02-06/30,-15.588856,2.4168307781219482,34,-0.45849577,19,49,2881,39.369164,-25.478985,34,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
DOTUSDT-KDAUSDT,03/02-06/30,0.28682077,3.014892101287842,42,0.0068290657,19,65,2881,8.753721,-3.9921045,42,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
CRVUSDT-DOTUSDT,03/02-06/30,-16.19387,2.4320125579833984,34,-0.47629032,16,52,2881,3.9649453,-8.066581,34,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
ATOMUSDT-KCALUSDT,03/02-06/30,-45.567238,2.7928738594055176,41,-1.1113961,20,61,2881,4.484521,-21.18734,41,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
DOTUSDC-KDAUSDT,03/02-06/30,-4.3859816,2.5972931385040283,37,-0.11854004,15,59,2881,5.413011,-6.5775266,37,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
GMTUSDC-HOOKUSDT,03/02-06/30,-67.4354,3.2045085430145264,44,-1.5326228,21,67,2881,19.560333,-62.51895,44,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
CITYUSDT-IZIUSDT,03/02-06/30,-27.361477,2.7597594261169434,40,-0.6840369,20,60,2881,18.554811,-20.093163,40,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
DYDXUSDT-KSMUSDT,03/02-06/30,3.8494616,2.5538530349731445,37,0.104039505,17,57,2881,31.238276,-14.048919,37,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
GMTUSDT-HOOKUSDT,03/02-06/30,-24.654703,2.89962100982666,41,-0.6013342,18,64,2881,19.364168,-36.84512,41,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
ATOMUSDT-GODSUSDT,03/02-06/30,-41.007404,2.6157665252685547,38,-1.0791422,19,57,2881,6.8059673,-28.312174,38,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
CRVUSDT-HFTUSDC,03/02-06/30,-16.805107,2.5402965545654297,36,-0.46680853,15,57,2881,5.169692,-23.51055,36,0,0,21.52598762512207,21.525983810424805,21.525983810424805,21.525985717773438
CELOUSDT-FLOWUSDT,03/02-06/30,5.418191,2.796013832092285,41,0.132151,22,59,2881,3.9869277,-4.8412514,41,0,0,21.525985717773438,21.525983810424805,21.525983810424805,21.525985717773438
