pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,1.4175541,2.782931327819824,47,0.030160727,35,58,2881,1.1708299,-1.2500974,47,0,0,17.5,17.5,17.5,17.500001907348633
CAKEUSDT-FIDAUSDT,01/31-05/31,-8.47549,2.188835859298706,39,-0.21732025,20,58,2881,1.0897971,-4.909467,39,0,0,17.5,17.5,17.5,17.5
AGLDUSDT-HFTUSDC,01/31-05/31,-0.46463633,2.036416530609131,36,-0.012906564,16,56,2881,2.2944431,-2.1560779,36,0,0,17.5,17.5,17.5,17.5
ETCUSDT-JUVUSDT,01/31-05/31,14.0829525,1.8107399940490723,32,0.44009227,13,51,2881,29.128702,-6.5755663,32,0,0,17.5,17.5,17.5,17.5
DOTUSDT-KDAUSDT,01/31-05/31,7.444618,2.054455280303955,37,0.2012059,15,59,2881,10.992967,-4.2090354,37,0,0,17.5,17.5,17.5,17.5
CTCUSDT-ERTHAUSDT,01/31-05/31,-73.92565,1.0000498294830322,15,-4.9283767,6,24,2881,17.928658,-92.08683,15,0,0,17.5,17.5,17.5,17.5
AXSUSDT-DOTUSDT,01/31-05/31,5.507112,2.124203681945801,38,0.144924,20,56,2881,2.8040578,-1.6155242,38,0,0,17.5,17.5,17.5,17.5
DOTUSDC-KDAUSDT,01/31-05/31,6.7550087,2.1196277141571045,38,0.17776339,16,60,2881,9.562698,-5.0201287,38,0,0,17.5,17.5,17.5,17.500001907348633
ATOMUSDT-KCALUSDT,01/31-05/31,20.408607,1.1114749908447266,20,1.0204303,7,33,2881,11.588825,-1.980103,20,0,0,17.5,17.5,17.499998092651367,17.5
DYDXUSDT-KCALUSDT,01/31-05/31,20.039536,2.0823779106140137,38,0.5273562,18,57,2881,16.335466,-7.390196,38,0,0,17.5,17.5,17.5,17.5
ATOMUSDT-GODSUSDT,01/31-05/31,7.557867,2.025820255279541,36,0.20994075,23,49,2881,5.521445,-3.7245364,36,0,0,17.5,17.5,17.5,17.5
DYDXUSDT-KSMUSDT,01/31-05/31,-2.6623988,2.1147353649139404,38,-0.07006313,18,58,2881,1.7610097,-2.0789711,38,0,0,17.5,17.5,17.5,17.5
CITYUSDT-IZIUSDT,01/31-05/31,59.34605,1.940578818321228,33,1.7983651,19,47,2881,33.025105,-5.682696,33,0,0,17.5,17.5,17.5,17.5
BLURUSDT-LDOUSDT,01/31-05/31,-2.6624599,1.8403053283691406,33,-0.0806806,14,52,2881,4.531836,-3.3020627,33,0,0,17.5,17.5,17.5,17.5
DOTUSDT-FTTUSDT,01/31-05/31,4.21047,1.0762196779251099,19,0.22160369,7,31,2881,4.357224,-2.196017,19,0,0,17.5,17.5,17.5,17.5
CRVUSDT-HFTUSDC,01/31-05/31,-5.1654334,1.5663127899169922,28,-0.18447976,12,44,2881,1.8242089,-3.4166934,28,0,0,17.5,17.5,17.5,17.5
DOTUSDC-FTTUSDT,01/31-05/31,-1.594957,1.1835942268371582,21,-0.07595033,6,36,2881,4.4525294,-2.4710188,21,0,0,17.5,17.5,17.5,17.5
CRVUSDT-HFTUSDT,01/31-05/31,0.025033712,1.4547553062438965,26,0.0009628351,10,42,2881,1.7947345,-1.5492043,26,0,0,17.5,17.5,17.5,17.5
ETHUSDC-ETHUSDT,03/02-06/30,6.9967346,3.2085797786712646,42,0.16658892,24,60,2881,2.5706172,-0.3747375,42,0,0,18.40726661682129,18.40726661682129,18.407264709472656,18.40726661682129
DOTUSDC-KDAUSDT,03/02-06/30,-10.401236,2.2064857482910156,37,-0.2811145,15,59,2881,4.6287656,-5.624564,37,0,0,18.407268524169922,18.40726661682129,18.407264709472656,18.40726661682129
CELOUSDT-FLOWUSDT,03/02-06/30,2.4057379,2.337493896484375,40,0.06014345,20,59,2881,3.4092953,-4.431208,40,0,0,18.40726661682129,18.40726661682129,18.407264709472656,18.40726661682129
ETCUSDT-JUVUSDT,03/02-06/30,-2.5186996,2.0503814220428467,34,-0.0740794,19,49,2881,33.6653,-21.664412,34,0,0,18.40726661682129,18.40726661682129,18.407264709472656,18.40726661682129
DYDXUSDT-KSMUSDT,03/02-06/30,3.9392958,2.187774419784546,37,0.106467456,18,56,2881,26.712425,-12.01349,37,0,0,18.407268524169922,18.40726661682129,18.407264709472656,18.40726661682129
