pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,5.129357,2.6063613891601562,45,0.11398571,30,59,2881,4.967612,-1.439799,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,7.0836773,1.234681248664856,25,0.2833471,13,37,2881,10.449167,-2.919158,25,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-2.4272637,0.861294150352478,18,-0.13484798,6,30,2881,0.93444735,-1.0476792,18,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,34.70735,1.1907955408096313,22,1.5776069,12,32,2881,23.53831,-16.227194,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,5.2565546,0.7687270641326904,16,0.32853466,7,25,2881,4.60428,-0.6299966,16,0,0,15.0,15.0,14.999999046325684,15.0
AGLDUSDT-HFTUSDC,01/31-05/31,-1.4962678,1.4031295776367188,29,-0.051595442,14,44,2881,1.6861038,-4.017255,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,-17.89296,1.1476101875305176,24,-0.74553996,10,37,2881,1.0502266,-14.030558,24,0,0,15.0,15.0,15.0,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,5.7520566,1.3918719291687012,29,0.19834678,17,40,2881,7.421382,-3.3264399,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-9.797726,0.5197351574897766,11,-0.8907023,3,19,2881,5.7704253,-5.622755,11,0,0,15.0,15.0,14.999999046325684,15.0
ATOMUSDT-KCALUSDT,01/31-05/31,14.25383,0.600080668926239,13,1.0964484,5,21,2881,11.259917,-0.7910757,13,0,0,15.0,15.0,15.0,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,5.419093,1.397959589958191,29,0.18686529,18,39,2881,6.9949265,-3.218786,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-1.7238132,0.8211398720741272,17,-0.10140078,7,27,2881,1.7362598,-1.9819251,17,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,8.274636,1.3556537628173828,28,0.29552272,17,39,2881,2.7756715,-2.2294004,28,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,24.716974,1.3636220693588257,29,0.85230947,17,40,2881,14.317424,-4.413519,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,2.2569714,0.7941619157791138,17,0.13276303,7,26,2881,1.7246574,-1.0865417,17,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,18.553371,1.2941011190414429,27,0.6871619,19,35,2881,5.5776234,-4.4719324,27,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,6.1170187,1.436926007270813,30,0.20390062,17,42,2881,2.2743313,-0.6060344,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,-1.952663,1.2475016117095947,26,-0.07510242,14,37,2881,1.8669233,-4.6922016,26,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,0.35901594,1.0480444431304932,22,0.016318906,8,36,2881,2.908913,-2.3799446,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,8.135925,1.159261703491211,24,0.3389969,13,34,2881,6.7614665,-1.8377811,24,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,10.014307,1.6204110383987427,34,0.29453844,22,45,2881,2.4448397,-4.155462,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,9.506875,1.0843746662139893,22,0.4321307,6,38,2881,14.222004,-3.4568434,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-2.0416439,0.8212882280349731,17,-0.1200967,5,29,2881,1.4737055,-1.169778,17,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,6.895036,1.3769160509109497,29,0.23775987,13,44,2881,6.2204604,-1.5023762,29,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,27.655462,4.059172630310059,38,0.72777534,27,48,2881,22.872986,-0.92455834,38,0,0,17.0264949798584,17.02649688720703,17.0264949798584,17.02649688720703
FTTUSDT-KSMUSDT,03/02-06/30,-203.44177,1.753544569015503,29,-7.0152335,12,45,2881,21.284897,-107.178925,29,0,0,17.0264949798584,17.0264949798584,17.0264949798584,17.02649688720703
CRVUSDT-KDAUSDT,03/02-06/30,3.3701015,1.5057094097137451,28,0.12036077,17,38,2881,5.9765863,-3.57481,28,0,0,17.0264949798584,17.0264949798584,17.0264949798584,17.02649688720703
ETCUSDT-JUVUSDT,03/02-06/30,-38.69662,1.5138689279556274,27,-1.4332082,11,43,2881,9.883714,-30.98661,27,0,0,17.02649688720703,17.02649688720703,17.0264949798584,17.02649688720703
DOTUSDT-KDAUSDT,03/02-06/30,-13.678258,1.4329326152801514,25,-0.54713035,7,43,2881,4.017527,-2.7595954,25,0,0,17.02649688720703,17.0264949798584,17.0264949798584,17.02649688720703
CRVUSDT-DOTUSDT,03/02-06/30,6.2372074,1.4494895935058594,26,0.23989259,15,36,2881,5.3672967,-2.8858967,26,0,0,17.0264949798584,17.0264949798584,17.0264949798584,17.02649688720703
ATOMUSDT-KCALUSDT,03/02-06/30,31.282288,1.4327168464660645,25,1.2512915,16,34,2881,35.90617,-9.3952055,25,0,0,17.02649688720703,17.0264949798584,17.0264949798584,17.02649688720703
DOTUSDC-KDAUSDT,03/02-06/30,-16.323551,1.3660876750946045,24,-0.68014795,6,42,2881,3.781538,-3.140816,24,0,0,17.02649688720703,17.02649688720703,17.0264949798584,17.02649688720703
GMTUSDC-HOOKUSDT,03/02-06/30,-77.92205,1.5752005577087402,28,-2.7829304,12,44,2881,1.1403834,-45.57225,28,0,0,17.0264949798584,17.0264949798584,17.0264949798584,17.02649688720703
CITYUSDT-IZIUSDT,03/02-06/30,28.569191,1.3990638256072998,23,1.2421387,12,34,2881,34.314556,-13.952229,23,0,0,17.0264949798584,17.0264949798584,17.0264949798584,17.02649688720703
DYDXUSDT-KSMUSDT,03/02-06/30,19.472288,1.2390730381011963,24,0.81134534,14,34,2881,15.775856,-12.532803,24,0,0,17.02649688720703,17.02649688720703,17.0264949798584,17.02649688720703
GMTUSDT-HOOKUSDT,03/02-06/30,-56.447266,1.297850489616394,23,-2.4542289,13,33,2881,1.1284654,-40.521683,23,0,0,17.0264949798584,17.0264949798584,17.0264949798584,17.02649688720703
ATOMUSDT-GODSUSDT,03/02-06/30,-71.11486,1.6365939378738403,27,-2.6338837,13,41,2881,5.3582287,-47.92955,27,0,0,17.02649688720703,17.02649688720703,17.0264949798584,17.02649688720703
