,Equity
2023-05-01 00:00:00,1000.0
2023-05-01 00:15:00,1000.0
2023-05-01 00:30:00,1000.0
2023-05-01 00:45:00,1000.0
2023-05-01 01:00:00,1000.0
2023-05-01 01:15:00,1000.0
2023-05-01 01:30:00,1000.0
2023-05-01 01:45:00,1000.0
2023-05-01 02:00:00,1000.0
2023-05-01 02:15:00,1000.0
2023-05-01 02:30:00,1000.0
2023-05-01 02:45:00,1000.0
2023-05-01 03:00:00,1000.0
2023-05-01 03:15:00,1000.0
2023-05-01 03:30:00,1000.0
2023-05-01 03:45:00,1000.0
2023-05-01 04:00:00,1000.0
2023-05-01 04:15:00,1000.0
2023-05-01 04:30:00,1000.0
2023-05-01 04:45:00,1000.0
2023-05-01 05:00:00,1000.0
2023-05-01 05:15:00,1000.0
2023-05-01 05:30:00,1000.0
2023-05-01 05:45:00,1000.0
2023-05-01 06:00:00,1000.0
2023-05-01 06:15:00,1000.0
2023-05-01 06:30:00,1000.0
2023-05-01 06:45:00,1000.0
2023-05-01 07:00:00,1000.0
2023-05-01 07:15:00,1000.0
2023-05-01 07:30:00,1000.0
2023-05-01 07:45:00,1000.0
2023-05-01 08:00:00,1000.0
2023-05-01 08:15:00,1000.0
2023-05-01 08:30:00,1000.0
2023-05-01 08:45:00,1000.0
2023-05-01 09:00:00,1000.0
2023-05-01 09:15:00,1000.0
2023-05-01 09:30:00,1000.0
2023-05-01 09:45:00,1000.0
2023-05-01 10:00:00,1000.0
2023-05-01 10:15:00,1000.0
2023-05-01 10:30:00,1000.0
2023-05-01 10:45:00,1000.0
2023-05-01 11:00:00,1000.0
2023-05-01 11:15:00,1000.0
2023-05-01 11:30:00,1000.0
2023-05-01 11:45:00,1000.0
2023-05-01 12:00:00,999.9759999997914
2023-05-01 12:15:00,999.9040000028908
2023-05-01 12:30:00,999.8800000008196
2023-05-01 12:45:00,999.856000000611
2023-05-01 13:00:00,999.856000000611
2023-05-01 13:15:00,999.8320000004023
2023-05-01 13:30:00,998.8817388843745
2023-05-01 13:45:00,996.3132741283625
2023-05-01 14:00:00,993.4929697345942
2023-05-01 14:15:00,991.8604245018214
2023-05-01 14:30:00,991.8364245016128
2023-05-01 14:45:00,991.8165716789663
2023-05-01 15:00:00,991.7925716806203
2023-05-01 15:15:00,980.715593950823
2023-05-01 15:30:00,974.1093489099294
2023-05-01 15:45:00,974.0436659473926
2023-05-01 16:00:00,966.0662985462695
2023-05-01 16:15:00,966.0662985462695
2023-05-01 16:30:00,966.0662985462695
2023-05-01 16:45:00,966.0662985462695
2023-05-01 17:00:00,966.0662985462695
2023-05-01 17:15:00,966.0662985462695
2023-05-01 17:30:00,966.0662985462695
2023-05-01 17:45:00,966.0662985462695
2023-05-01 18:00:00,964.3349754232913
2023-05-01 18:15:00,964.3349754232913
2023-05-01 18:30:00,964.3349754232913
2023-05-01 18:45:00,968.7803208250552
2023-05-01 19:00:00,968.7803208250552
2023-05-01 19:15:00,968.732320824638
2023-05-01 19:30:00,959.2281170282513
2023-05-01 19:45:00,957.9439746532589
2023-05-01 20:00:00,957.9439746532589
2023-05-01 20:15:00,957.9439746532589
2023-05-01 20:30:00,957.8479746524245
2023-05-01 20:45:00,957.8479746524245
2023-05-01 21:00:00,957.8479746524245
2023-05-01 21:15:00,957.8479746524245
2023-05-01 21:30:00,957.8479746524245
2023-05-01 21:45:00,957.8239746522158
2023-05-01 22:00:00,957.7999746520072
2023-05-01 22:15:00,956.5776986796409
2023-05-01 22:30:00,955.4080494362861
2023-05-01 22:45:00,955.4080494362861
2023-05-01 23:00:00,955.4080494362861
2023-05-01 23:15:00,955.3840494379401
2023-05-01 23:30:00,955.3840494379401
2023-05-01 23:45:00,955.3840494379401
2023-05-02 00:00:00,955.3840494379401
2023-05-02 00:15:00,955.3600494358689
