pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.5294579,2.360146999359131,47,0.011265063,35,58,2881,1.0035684,-1.354718,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,7.2281995,2.1439108848571777,44,0.16427726,23,65,2881,16.742468,-4.2081146,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-5.433793,0.9181344509124756,19,-0.2859891,1,37,2881,0.34995562,-1.3278894,19,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,20.51939,1.8032262325286865,37,0.5545781,20,54,2881,20.507504,-5.9844065,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,6.0715027,1.015080451965332,21,0.28911918,10,32,2881,4.311879,-3.060485,21,0,0,15.0,15.0,15.0,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-4.9470954,2.121913433074951,44,-0.112433985,21,67,2881,1.9666655,-4.88481,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,7.3037386,2.1054294109344482,44,0.16599406,24,64,2881,3.340011,-2.30457,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,6.4614635,1.979323148727417,41,0.15759666,21,61,2881,8.117019,-4.661136,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,15.630829,0.4633672535419464,10,1.5630829,5,15,2881,15.36742,-2.2190697,10,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,8.068462,0.6999222040176392,15,0.53789747,4,26,2881,9.933279,-1.6972312,15,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,7.807496,2.0632243156433105,43,0.18156968,21,65,2881,8.196598,-4.3029675,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-1.0950847,0.7622148990631104,16,-0.06844279,9,23,2881,1.1777927,-3.5185547,16,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,1.3155236,2.009326696395874,42,0.03132199,27,57,2881,2.7131782,-3.1924598,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,60.378216,2.009523868560791,41,1.4726394,22,59,2881,50.981335,-2.666974,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-5.5105634,0.7608474493026733,16,-0.3444102,6,26,2881,1.3402853,-3.3843772,16,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,52.938995,1.9380531311035156,39,1.3574102,23,55,2881,28.307234,-4.8708825,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,3.5473902,2.1725080013275146,45,0.07883089,29,61,2881,2.2651477,-2.2343097,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,1.6014547,2.0707693099975586,43,0.03724313,23,63,2881,5.6713557,-3.6280475,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,3.6579137,0.9399633407592773,20,0.18289569,11,28,2881,3.1535764,-1.8823004,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-3.53867,1.8307373523712158,38,-0.0931229,15,61,2881,3.8844311,-2.8303394,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,15.045453,2.081658124923706,43,0.34989426,31,55,2881,2.0018814,-2.6014614,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,2.4937806,0.964368462562561,20,0.12468903,12,28,2881,2.2649043,-2.118016,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-5.6394596,1.0023868083953857,21,-0.2685457,6,36,2881,0.8303831,-1.3013705,21,0,0,15.0,15.0,15.0,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-7.32618,2.01161527633667,42,-0.17443286,18,65,2881,3.844497,-4.7419157,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,14.196148,3.843198299407959,48,0.2957531,27,69,2881,4.4774966,-0.36250958,48,0,0,17.806625366210938,17.80662727355957,17.806625366210938,17.80662727355957
FTTUSDT-KSMUSDT,03/02-06/30,-123.09021,2.9495649337768555,48,-2.5643795,19,77,2881,13.849297,-96.44007,48,0,0,17.806625366210938,17.806625366210938,17.806625366210938,17.80662727355957
CRVUSDT-KDAUSDT,03/02-06/30,5.154054,2.447108030319214,43,0.11986172,24,62,2881,9.723314,-9.168341,43,0,0,17.80662727355957,17.80662727355957,17.806625366210938,17.80662727355957
ETCUSDT-JUVUSDT,03/02-06/30,-18.628407,2.4656686782836914,42,-0.44353348,24,60,2881,23.903316,-21.07661,42,0,0,17.806625366210938,17.806625366210938,17.806625366210938,17.80662727355957
DOTUSDT-KDAUSDT,03/02-06/30,11.221439,2.5449934005737305,43,0.2609637,21,65,2881,7.2412133,-3.3023305,43,0,0,17.80662727355957,17.80662727355957,17.806625366210938,17.80662727355957
CRVUSDT-DOTUSDT,03/02-06/30,-18.53503,2.439847230911255,42,-0.44131026,19,64,2881,2.8399677,-6.6728005,42,0,0,17.806625366210938,17.806625366210938,17.806625366210938,17.80662727355957
