pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.5294579,2.360146999359131,47,0.011265063,35,58,2881,1.0035684,-1.354718,47,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,7.2281995,2.1439108848571777,44,0.16427726,23,65,2881,16.742468,-4.2081146,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,2.4801044,1.8502939939498901,39,0.06359242,19,58,2881,2.6821153,-2.948745,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,20.51939,1.8032262325286865,37,0.5545781,20,54,2881,20.507504,-5.9844065,37,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,-3.7054691,1.8721798658370972,39,-0.09501203,17,61,2881,1.8285117,-3.060485,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-4.9470954,2.121913433074951,44,-0.112433985,21,67,2881,1.9666655,-4.88481,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,7.3037386,2.1054294109344482,44,0.16599406,24,64,2881,3.340011,-2.30457,44,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,6.4614635,1.979323148727417,41,0.15759666,21,61,2881,8.117019,-4.661136,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,-20.22097,1.5579326152801514,32,-0.6319053,14,50,2881,19.221624,-31.74842,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,-0.3467474,1.4516503810882568,30,-0.011558247,12,48,2881,3.575846,-3.4403043,30,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,7.807496,2.0632243156433105,43,0.18156968,21,65,2881,8.196598,-4.3029675,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-11.337888,1.6908676624298096,35,-0.32393965,16,54,2881,1.0028391,-3.810183,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,1.3155236,2.009326696395874,42,0.03132199,27,57,2881,2.7131782,-3.1924598,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,60.378216,2.009523868560791,41,1.4726394,22,59,2881,50.981335,-2.666974,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-14.160871,1.7090697288513184,35,-0.4045963,15,55,2881,2.0742111,-6.8656883,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,52.938995,1.9380531311035156,39,1.3574102,23,55,2881,28.307234,-4.8708825,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,3.5473902,2.1725080013275146,45,0.07883089,29,61,2881,2.2651477,-2.2343097,45,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,1.6014547,2.0707693099975586,43,0.03724313,23,63,2881,5.6713557,-3.6280475,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,9.509516,1.688819408416748,35,0.27170044,20,50,2881,6.4549866,-4.4007187,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-3.53867,1.8307373523712158,38,-0.0931229,15,61,2881,3.8844311,-2.8303394,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,15.045453,2.081658124923706,43,0.34989426,31,55,2881,2.0018814,-2.6014614,43,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,7.6276884,1.7310523986816406,36,0.21188024,19,53,2881,6.1794868,-3.632739,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,4.9419184,1.9350864887237549,41,0.12053459,23,58,2881,2.37357,-2.6070867,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-7.32618,2.01161527633667,42,-0.17443286,18,65,2881,3.844497,-4.7419157,42,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,13.676472,3.7025108337402344,48,0.2849265,27,69,2881,4.3135896,-0.34923926,48,0,0,17.154783248901367,17.154781341552734,17.154781341552734,17.154783248901367
FTTUSDT-KSMUSDT,03/02-06/30,-118.58426,2.841590642929077,48,-2.4705055,19,77,2881,13.342318,-92.9097,48,0,0,17.154783248901367,17.154781341552734,17.154781341552734,17.154783248901367
CRVUSDT-KDAUSDT,03/02-06/30,4.965378,2.357527256011963,43,0.1154739,24,62,2881,9.367374,-8.832717,43,0,0,17.154783248901367,17.154781341552734,17.154781341552734,17.154783248901367
ETCUSDT-JUVUSDT,03/02-06/30,-17.946468,2.375408172607422,42,-0.42729688,24,60,2881,23.028292,-20.305061,42,0,0,17.154781341552734,17.154781341552734,17.154781341552734,17.154783248901367
DOTUSDT-KDAUSDT,03/02-06/30,10.810657,2.451829433441162,43,0.2514106,21,65,2881,6.9761353,-3.1814425,43,0,0,17.154783248901367,17.154781341552734,17.154781341552734,17.154783248901367
CRVUSDT-DOTUSDT,03/02-06/30,-17.856522,2.350532293319702,42,-0.42515528,19,64,2881,2.7360053,-6.42853,42,0,0,17.154781341552734,17.154781341552734,17.154781341552734,17.154783248901367
