pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-05/31,0.24203947,2.1622748374938965,41,0.005903402,30,52,2881,0.71142066,-1.0715121,41,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-05/31,8.886184,1.850273847579956,38,0.23384695,16,60,2881,16.742468,-3.680921,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-05/31,-5.0167685,1.0141996145248413,21,-0.23889373,3,39,2881,0.48010823,-1.3278894,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-05/31,-18.932482,1.5146484375,32,-0.59164006,11,53,2881,2.5806541,-6.6621685,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-05/31,1.7740779,1.0575675964355469,22,0.080639906,9,35,2881,4.311879,-3.060485,22,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-05/31,-5.5164804,1.8731780052185059,39,-0.14144821,15,63,2881,2.085382,-4.038481,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-05/31,2.7853954,1.679861307144165,35,0.07958273,18,52,2881,3.2476192,-1.8855454,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-05/31,5.7453127,1.5706924200057983,33,0.17410038,13,53,2881,8.438947,-3.0450578,33,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-05/31,29.174435,0.5185328722000122,11,2.6522214,7,15,2881,15.36742,-2.2190697,11,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-05/31,7.762444,0.7004110813140869,15,0.5174963,4,26,2881,9.933279,-1.6972312,15,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-05/31,-8.993211,1.724778652191162,36,-0.24981141,13,59,2881,1.8144586,-5.8439174,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-05/31,-1.8566966,0.8096433281898499,17,-0.10921745,8,26,2881,1.1777927,-3.5185547,17,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-05/31,-8.410025,1.7108252048492432,36,-0.23361179,16,56,2881,1.1173165,-3.6460452,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KCALUSDT,01/31-05/31,5.66735,1.586624026298523,34,0.16668676,14,53,2881,14.001828,-6.3344536,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,01/31-05/31,-5.5105634,0.7608474493026733,16,-0.3444102,6,26,2881,1.3402853,-3.3843772,16,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,01/31-05/31,76.88937,1.7360877990722656,34,2.2614522,22,46,2881,28.307234,-1.9606987,34,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DYDXUSDT-KSMUSDT,01/31-05/31,5.263654,1.8380084037780762,38,0.13851722,20,56,2881,2.2651477,-1.6163607,38,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AVAUSDT-KASTAUSDT,01/31-05/31,-3.2202299,1.723794937133789,36,-0.08945083,15,57,2881,1.95996,-3.6280475,36,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-FTTUSDT,01/31-05/31,1.4545355,0.9351052045822144,20,0.07272677,9,30,2881,3.1535764,-1.8823004,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
BLURUSDT-LDOUSDT,01/31-05/31,-8.460167,1.5352014303207397,32,-0.26438022,9,55,2881,3.9577117,-2.8303394,32,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEXUSDC-AVAUSDT,01/31-05/31,3.8883786,1.6926991939544678,35,0.11109653,20,50,2881,1.1482131,-2.6014614,35,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-FTTUSDT,01/31-05/31,2.4937806,0.964368462562561,20,0.12468903,12,28,2881,2.2649043,-2.118016,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDC,01/31-05/31,-8.701712,1.0074928998947144,21,-0.41436723,5,37,2881,0.48943883,-2.9285944,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-DOTUSDT,01/31-05/31,-6.033225,1.8389530181884766,39,-0.15469807,17,60,2881,2.5107667,-5.185569,39,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETHUSDC-ETHUSDT,03/02-06/30,0.5613761,2.854445457458496,37,0.015172327,24,50,2881,2.8603907,-7.9965987,37,0,0,16.070629119873047,16.07063102722168,16.07063102722168,16.07063102722168
FTTUSDT-KSMUSDT,03/02-06/30,3.8318481,2.0666451454162598,38,0.10083811,16,60,2881,30.419086,-21.688068,38,0,0,16.070629119873047,16.07063102722168,16.07063102722168,16.07063102722168
CRVUSDT-KDAUSDT,03/02-06/30,-3.2545323,2.051743507385254,40,-0.081363305,21,59,2881,3.372588,-8.274506,40,0,0,16.07063102722168,16.07063102722168,16.07063102722168,16.07063102722168
ETCUSDT-JUVUSDT,03/02-06/30,-30.681015,1.9033055305480957,37,-0.8292166,20,54,2881,10.956334,-22.965597,37,0,0,16.070629119873047,16.07063102722168,16.07063102722168,16.07063102722168
DOTUSDT-KDAUSDT,03/02-06/30,2.0956635,2.1169323921203613,40,0.05239159,19,61,2881,9.110445,-2.390851,40,0,0,16.07063102722168,16.07063102722168,16.07063102722168,16.07063102722168
CRVUSDT-DOTUSDT,03/02-06/30,-26.304943,2.088926315307617,38,-0.69223535,17,59,2881,0.9054054,-15.18471,38,0,0,16.070629119873047,16.07063102722168,16.07063102722168,16.07063102722168
