pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
ETHUSDC-ETHUSDT,01/31-06/30,12.435071,6.079657554626465,96,0.129532,65,127,5761,4.549843,-1.354718,96,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CAKEUSDT-FIDAUSDT,01/31-06/30,3.8351727,4.209122180938721,87,0.044082444,39,135,5761,16.742468,-4.2081146,87,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-HFTUSDT,01/31-06/30,9.729771,4.217315673828125,88,0.11056557,42,134,5761,5.1319623,-2.948745,88,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,01/31-06/30,28.970892,3.978351593017578,82,0.35330355,44,120,5761,20.507504,-5.9844065,82,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FTTUSDT-KSMUSDT,01/31-06/30,-12.799038,3.1483330726623535,65,-0.19690828,25,105,5761,4.311879,-4.478001,65,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AGLDUSDT-HFTUSDC,01/31-06/30,-19.943247,4.475691318511963,93,-0.21444352,36,150,5761,9.720324,-6.8813105,93,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-DOTUSDT,01/31-06/30,19.99556,4.204054355621338,87,0.22983402,47,127,5761,12.042595,-2.30457,87,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,01/31-06/30,7.4040837,4.1042985916137695,85,0.08710687,42,128,5761,8.117019,-4.661136,85,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CTCUSDT-ERTHAUSDT,01/31-06/30,-73.8127,3.875464677810669,79,-0.934338,44,113,5761,19.221624,-53.365776,79,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KCALUSDT,01/31-06/30,13.056829,2.8204598426818848,59,0.2213022,22,95,5761,9.933279,-5.094033,59,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,01/31-06/30,5.034437,4.1350250244140625,86,0.058539968,40,132,5761,8.196598,-4.3029675,86,0,0,15.0,15.0,14.999999046325684,15.000000953674316
FLOWUSDT-JSTUSDT,01/31-06/30,-11.583208,4.427886962890625,92,-0.12590444,46,138,5761,2.0042145,-2.5850778,92,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,01/31-06/30,-2.0100203,4.122156143188477,86,-0.023372328,49,123,5761,2.7131782,-3.1924598,86,0,0,15.0,15.0,14.999999046325684,15.000000953674316
