pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,entry_notional_count,entry_notional_cap_hits,entry_notional_below_min,entry_notional_avg,entry_notional_p50,entry_notional_min,entry_notional_max
AAVEUSDT-GALFTUSDT,11/02-05/16,-20.235968,0.6448212265968323,13,-1.5566128,3,23,1441,2.8893096,-10.2461,13,0,0,15.0,15.0,14.999999046325684,15.0
HNTUSDT-INTERUSDT,11/02-05/16,10.964729,0.6449355483055115,13,0.8434407,5,21,1441,12.163448,-1.5260905,13,0,0,15.0,15.0,14.999999046325684,15.000000953674316
GENEUSDT-KDAUSDT,11/02-05/16,-160.2379,1.1629259586334229,19,-8.433574,10,28,1441,21.608555,-125.924484,19,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ETCUSDT-JUVUSDT,11/02-05/16,14.435561,0.9397498965263367,19,0.7597664,10,28,1441,20.507504,-5.9844065,19,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AFCUSDT-ANKRUSDT,11/02-05/16,18.442678,0.8522862195968628,18,1.0245932,12,24,1441,5.599963,-3.3607285,18,0,0,15.0,15.0,14.999999046325684,15.0
FLOWUSDT-JSTUSDT,11/02-05/16,-6.6713824,1.0187864303588867,21,-0.3176849,9,33,1441,2.0042145,-2.5850778,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-GODSUSDT,11/02-05/16,-0.9848559,0.9259705543518066,20,-0.049242795,11,28,1441,2.7131782,-3.1924598,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AFCUSDT-BICOUSDT,11/02-05/16,18.914028,0.5260996222496033,11,1.7194571,5,17,1441,19.139038,-1.0975728,11,0,0,15.0,15.0,14.999999046325684,15.0
FLOWUSDT-JUVUSDT,11/02-05/16,-26.456308,0.8550305366516113,18,-1.4697949,7,29,1441,1.1891911,-13.804646,18,0,0,15.0,15.0,15.0,15.000000953674316
AXSUSDT-DOTUSDT,11/02-05/16,5.1420875,0.9346558451652527,20,0.25710437,12,27,1441,2.430739,-1.384735,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDC-KDAUSDT,11/02-05/16,8.387106,0.9899986982345581,21,0.399386,10,31,1441,8.196598,-4.3029675,21,0,0,15.0,15.0,14.999999046325684,15.0
CRVUSDT-HFTUSDC,11/02-05/16,-7.7451982,1.0785541534423828,23,-0.33674774,11,34,1441,4.0750933,-4.008495,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
ATOMUSDT-KDAUSDT,11/02-05/16,4.094929,1.0013971328735352,21,0.19499663,10,32,1441,3.7959592,-2.6348293,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
DOTUSDT-KDAUSDT,11/02-05/16,4.4378567,0.9324151873588562,19,0.23357141,9,29,1441,8.117019,-4.661136,19,0,0,15.0,15.0,15.0,15.000000953674316
CRVUSDT-HFTUSDT,11/02-05/16,-7.74037,1.130434274673462,24,-0.3225154,9,38,1441,4.0869155,-2.948745,24,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AXSUSDT-CRVUSDT,11/02-05/16,-5.0049944,0.9477299451828003,20,-0.2502497,8,31,1441,2.7942576,-3.683361,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDT-ATOMUSDT,11/02-05/16,-4.4410906,0.7197644710540771,15,-0.2960727,4,26,1441,2.1146605,-3.6229126,15,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CRVUSDT-KDAUSDT,11/02-05/16,-15.159126,1.1213607788085938,23,-0.6590924,12,33,1441,2.4514718,-6.8656883,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
GALFTUSDT-HBARUSDT,11/02-05/16,14.745207,1.1507710218429565,23,0.64109594,15,31,1441,6.6141763,-5.217804,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
APEUSDC-ATOMUSDT,11/02-05/16,-4.6945004,0.6700742244720459,14,-0.33532146,3,25,1441,2.0969563,-3.8259668,14,0,0,15.0,15.0,14.999999046325684,15.000000953674316
HFTUSDC-KDAUSDT,11/02-05/16,-2.213325,1.001589059829712,21,-0.10539643,10,32,1441,1.841942,-2.2342105,21,0,0,15.0,15.0,14.999999046325684,15.000000953674316
CITYUSDT-IZIUSDT,11/02-05/16,47.845566,1.080195665359497,21,2.2783604,11,31,1441,28.307234,-4.8708825,21,0,0,15.0,15.0,14.999999046325684,15.0
DYDXUSDT-KSMUSDT,11/02-05/16,1.7245243,1.1140546798706055,23,0.07497931,15,31,1441,2.2651477,-2.2343097,23,0,0,15.0,15.0,14.999999046325684,15.000000953674316
HFTUSDT-KDAUSDT,11/02-05/16,2.210456,0.9658462405204773,20,0.11052279,9,31,1441,3.6108727,-1.3691002,20,0,0,15.0,15.0,14.999999046325684,15.000000953674316
AAVEUSDT-GALFTUSDT,11/17-05/31,-27.290787,0.6800653338432312,15,-1.8193858,3,27,1441,3.8541493,-10.4084,15,0,0,13.346393585205078,13.346395492553711,13.346394538879395,13.346395492553711
DOTUSDC-KDAUSDT,11/17-05/31,2.6569395,0.6229416131973267,15,0.1771293,5,25,1441,18.55892,-12.230423,15,0,0,13.346393585205078,13.346395492553711,13.346394538879395,13.346396446228027
FLOWUSDT-JSTUSDT,11/17-05/31,57.31101,1.1130845546722412,23,2.491783,15,30,1441,29.271557,-29.480827,23,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346395492553711
ETCUSDT-JUVUSDT,11/17-05/31,-20.565395,0.9055335521697998,18,-1.142522,8,28,1441,20.15362,-20.318224,18,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
DOTUSDT-KDAUSDT,11/17-05/31,1.6624689,0.6878107190132141,17,0.09779229,6,28,1441,17.641174,-11.412413,17,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346396446228027
CELOUSDT-FLOWUSDT,11/17-05/31,48.317524,1.0164241790771484,22,2.1962512,12,31,1441,60.582302,-14.287965,22,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346396446228027
ATOMUSDT-GODSUSDT,11/17-05/31,55.594288,0.967515230178833,21,2.647347,15,27,1441,26.56305,-7.857676,21,0,0,13.346394538879395,13.346395492553711,13.346395492553711,13.346396446228027
DYDXUSDT-KSMUSDT,11/17-05/31,15.060859,0.9393405914306641,20,0.75304294,12,28,1441,14.262031,-8.548657,20,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
FIDAUSDT-GALFTUSDT,11/17-05/31,72.341576,0.9210992455482483,20,3.6170788,13,26,1441,44.052383,-9.6522,20,0,0,13.346394538879395,13.346395492553711,13.346395492553711,13.346396446228027
ATOMUSDT-KDAUSDT,11/17-05/31,-13.762011,0.515638530254364,12,-1.1468343,3,21,1441,4.132632,-8.191349,12,0,0,13.346394538879395,13.346395492553711,13.346395492553711,13.346396446228027
CRVUSDT-KDAUSDT,11/17-05/31,-2.5440004,0.5687623023986816,14,-0.18171431,6,22,1441,5.712845,-8.626055,14,0,0,13.346394538879395,13.346395492553711,13.346395492553711,13.346396446228027
AVAUSDT-KASTAUSDT,11/17-05/31,31.30078,0.596973180770874,13,2.4077523,5,21,1441,32.79752,-16.187895,13,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
AXSUSDT-CRVUSDT,11/17-05/31,-116.885574,0.9812991619110107,19,-6.151872,8,30,1441,3.9963725,-108.05922,19,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
FLOWUSDT-JUVUSDT,11/17-05/31,113.94863,1.3188090324401855,22,5.1794834,12,32,1441,124.94411,-30.58097,22,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346396446228027
BICOUSDT-ETHWUSDT,11/17-05/31,21.593008,0.9171234369277954,23,0.93882644,13,32,1441,16.440073,-8.677768,23,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346396446228027
CITYUSDT-IZIUSDT,11/17-05/31,5.653022,0.7247753143310547,16,0.35331386,9,23,1441,6.394876,-4.639384,16,0,0,13.346395492553711,13.346395492553711,13.346395492553711,13.346396446228027
CRVUSDT-HFTUSDC,11/17-05/31,64.122635,0.9122995138168335,19,3.3748755,8,30,1441,51.84207,-4.51452,19,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
APEXUSDC-KASTAUSDT,11/17-05/31,131.99838,1.0810633897781372,19,6.9472833,16,22,1441,83.70292,-37.830856,19,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
GALFTUSDT-HBARUSDT,11/17-05/31,12.44348,0.5458921790122986,13,0.95719075,6,20,1441,5.6103215,-3.025292,13,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
HFTUSDC-KDAUSDT,11/17-05/31,32.468086,0.7772940397262573,18,1.8037826,11,25,1441,19.533533,-13.891454,18,0,0,13.346394538879395,13.346395492553711,13.346394538879395,13.346396446228027
APEXUSDT-KASTAUSDT,11/17-05/31,57.012802,0.9859786629676819,23,2.4788175,15,30,1441,23.543556,-12.50232,23,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346396446228027
AFCUSDT-ANKRUSDT,11/17-05/31,-8.786383,0.9526554942131042,22,-0.39938104,11,33,1441,1.6277397,-5.67283,22,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346396446228027
HFTUSDT-KDAUSDT,11/17-05/31,5.102145,0.9339182376861572,22,0.2319157,11,33,1441,10.74026,-8.504838,22,0,0,13.346395492553711,13.346395492553711,13.346394538879395,13.346395492553711
1INCHUSDT-AXSUSDT,11/17-05/31,-0.095140934,0.670305609703064,15,-0.006342729,9,21,1441,7.400894,-18.069878,15,0,0,13.346393585205078,13.346395492553711,13.346394538879395,13.346396446228027
AAVEUSDT-GALFTUSDT,12/02-06/15,4.349891,1.3012311458587646,19,0.22894163,10,28,1441,5.221385,-3.2343051,19,0,0,21.42626953125,21.42626953125,21.42626953125,21.426271438598633
