symbol,quote,retrieved_at_utc,last_price,turnover24h_usd,volume24h,bid1,ask1,bid_ask_pct,funding_rate,funding_rate_abs,tick_size,tick_size_pct,launch_time_ms,days_live
1INCHUSDT,USDT,2026-02-23T09:39:56Z,0.09002,1048696.6778,11750915.6,0.09003,0.09007,0.000444197667962,0.0001,0.0001,1e-05,0.000111086425239,1638748800000,1540.40274913
5IREUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
AAVEUSDT,USDT,2026-02-23T09:39:56Z,117.09,29665861.9527,257250.22,117.08,117.09,8.54080368963e-05,1.5e-06,1.5e-06,0.01,8.54043897856e-05,1620897660000,1747.0131658
ACHUSDT,USDT,2026-02-23T09:39:56Z,0.007344,677493.0534,93154290,0.007338,0.007345,0.000953483620514,-0.00049079,0.00049079,1e-06,0.000136165577342,1649405257000,1417.06412645
ACSUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
ADAEUR,OTHER,2026-02-23T09:39:56Z,,,,,,,,,,,,
ADAUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
ADAUSDT,USDT,2026-02-23T09:39:56Z,0.2708,69166811.7729,260099481,0.2707,0.2708,0.000369344413666,0.0001,0.0001,0.0001,0.000369276218612,1610668800000,1865.40274913
AEGUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
AFGUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
AGIUSDT,USDT,2026-02-23T09:39:56Z,0.01109,369155.063,32970600,0.011071,0.011091,0.0018048912553,0.0001,0.0001,1e-06,9.01713255185e-05,1700209664000,829.050156539
AGLAUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
AGLDUSDT,USDT,2026-02-23T09:39:56Z,0.35952,184594841.424,496541905.5,0.35959,0.3596,2.78090629735e-05,-0.0080822,0.0080822,1e-05,2.78148642635e-05,1650608721000,1403.13514497
ALGOUSDT,USDT,2026-02-23T09:39:56Z,0.08606,5136242.4335,60278375.6,0.08605,0.08606,0.000116204752774,3.653e-05,3.653e-05,1e-05,0.000116198001394,1632355200000,1614.40274913
APEUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
APEUSDT,USDT,2026-02-23T09:39:56Z,0.10573,4477185.9858,42682612.7,0.10572,0.10573,9.45850082763e-05,-0.00096421,0.00096421,1e-05,9.45805353258e-05,1647571477000,1438.288432
APEXUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
APEXUSDT,USDT,2026-02-23T09:39:56Z,0.3028,1233715.3616,4069609.8,0.3027,0.3028,0.000330305532618,5e-05,5e-05,0.0001,0.000330250990753,1759047493000,148.056765336
APPUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
ARBUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
ARBUSDT,USDT,2026-02-23T09:39:56Z,0.09473,27548650.213,299092747.7,0.09472,0.09473,0.000105568751649,0.0001,0.0001,1e-05,0.000105563179563,1679563660000,1068.00853617
ARKMUSDT,USDT,2026-02-23T09:39:56Z,0.10684,996012.0179,9500798,0.1068,0.10687,0.00065521598727,-0.00029674,0.00029674,1e-05,9.3597903407e-05,1690508471000,941.332482928
ARTYUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
ARUSDT,USDT,2026-02-23T09:39:56Z,1.9374,1367412.5776,711227.9,1.9375,1.9383,0.000412817998865,-0.00013005,0.00013005,0.0001,5.16155672551e-05,1639978762000,1526.16707784
ATOMUSDT,USDT,2026-02-23T09:39:56Z,2.2298,11316741.9388,5084747.4,2.2295,2.2297,8.97021887334e-05,5.162e-05,5.162e-05,0.0001,4.48470714862e-05,1633910400000,1596.40274913
AVAUSDT,USDT,2026-02-23T09:39:56Z,0.199,45304.9513,227132.3,0.1988,0.1991,0.00150791656195,5e-05,5e-05,0.0001,0.000502512562814,1734343893000,433.978061632
AXLUSDT,USDT,2026-02-23T09:39:56Z,0.05311,1159968.9172,22052029,0.0531,0.05312,0.000376576915835,1.25e-05,1.25e-05,1e-05,0.000188288457918,1701941550000,809.005179688
AXSUSDT,USDT,2026-02-23T09:39:56Z,1.2551,27272585.8256,21660323.9,1.255,1.2551,7.96781004743e-05,-0.0004984,0.0004984,0.0001,7.96749263007e-05,1628726400000,1656.40274913
BABYDOGEUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
BATUSDT,USDT,2026-02-23T09:39:56Z,0.11745,804486.8522,6976361,0.1175,0.11752,0.000170198280997,6.63e-05,6.63e-05,1e-05,8.51426138782e-05,1637712000000,1552.40274913
BICOUSDT,USDT,2026-02-23T09:39:56Z,0.0212,328210.019,14966217,0.0212,0.02125,0.00235571260306,0.0001,0.0001,1e-05,0.000471698113208,1638445217000,1543.91644126
BLURUSDT,USDT,2026-02-23T09:39:56Z,0.019716,669056.6011,34019909,0.019719,0.019739,0.00101373612449,1.25e-05,1.25e-05,1e-06,5.07202272266e-05,1676428387000,1104.29641811
BONKUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
BTCDAI,OTHER,2026-02-23T09:39:56Z,,,,,,,,,,,,
BTCEUR,OTHER,2026-02-23T09:39:56Z,,,,,,,,,,,,
BTCUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
BTCUSDT,USDT,2026-02-23T09:39:56Z,66245.5,4918681695.25,74449.205,66245.5,66245.6,1.50953535756e-06,6.15e-06,6.15e-06,0.1,1.50953649682e-06,1584230400000,2171.40274913
BTTUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
C98USDT,USDT,2026-02-23T09:39:56Z,0.026494,2078126.2564,78345847.8,0.026486,0.026495,0.000339744436685,0.0001,0.0001,1e-06,3.77443949573e-05,1635120000000,1582.40274913
