bar,cumulative_pnl
0,53.68319599999884
1,-275.7926780000009
2,-351.4362739999997
3,-521.4197519999933
4,-133.25969999998546
5,-503.0229259999785
6,-1263.9108579999806
7,-904.1795419999833
8,-339.67747799997926
9,-407.9343939999839
10,-406.0977059999874
11,-597.5824119999963
12,26.85158000000854
13,-577.418771999992
14,-556.456571999992
15,-647.0931319999949
16,-190.0872259999931
17,-30.56488399999543
18,314.403054000001
19,-83.25986199999636
20,-121.88021999999869
21,-106.83734599999171
22,-107.2366259999859
23,622.3078260000146
24,185.2659200000129
25,82.11193200001638
26,527.608592000012
27,-325.083793999984
28,-694.8470199999842
29,-665.4400479999852
30,-1415.9766459999846
31,-2308.257643999991
32,-2450.7207479999925
33,-2584.4296379999896
34,-2383.452049999993
35,-3426.9603479999923
36,-3397.004365999983
37,-3289.438333999981
38,-1883.4137419999831
39,-1126.8779619999818
40,-2922.9791499999783
41,-998.6292259999786
42,-2105.9724139999753
43,-2190.76950399998
44,-2448.724347999978
45,-2353.6557799999873
46,-2449.612745999985
47,-3987.2200619999894
48,-3268.326403999987
49,-3089.2593059999876
50,-2884.079295999985
51,-2756.4194979999857
52,-2655.6611899999834
53,-3065.232631999981
54,-3053.753331999981
55,-3088.251123999979
56,-3084.617675999972
57,-3253.762665999969
58,-2646.6674079999666
59,-1559.527787999968
60,-1259.9380219999707
61,-469.1340359999748
62,-238.56979999997887
63,-147.38422999997306
64,-209.3724499999716
65,-117.8275279999652
66,-444.40862199996343
67,-670.0916599999599
68,-895.4253279999579
69,-1186.4106099999672
70,-1109.090037999968
71,-1315.7873119999676
72,-1472.2751259999718
73,-1363.401451999972
74,-1255.3363199999774
75,-1153.3102979999783
76,-1758.558885999982
77,-76.62183199998094
78,230.55425400001496
79,145.32793800001758
80,58.78399800001323
81,73.60726800001177
82,175.25397400000625
83,212.8062580000016
84,662.8646919999969
85,638.7282159999967
86,657.614159999995
87,581.7908879999959
88,635.84341799999
89,535.7938319999796
90,284.73654999998485
91,-107.15677000002097
92,-1031.8493220000214
93,-1212.5434860000182
94,-1248.4387580000173
95,-927.7470440000204
96,-773.2556300000236
97,-602.3038980000289
98,-393.8597740000292
99,-863.7125140000262
100,-984.3649480000288
101,-1244.8552200000279
102,-1290.982042000027
103,-1055.097400000022
104,-1486.6492060000237
105,-1704.6660680000273
106,-1885.9890980000287
107,-1879.9998980000287
108,-1958.6281120000328
109,-2331.0365680000345
110,-2339.19186200004
111,-1919.6184560000383
112,-1652.7696500000366
113,-1457.312108000039
114,-1751.581468000042
115,-1753.5479220000432
116,-1805.6040520000374
117,-1929.4307620000404
118,-1734.7617980000437
119,-984.9938140000484
120,-833.7265860000475
121,-854.7930979000477
122,-835.5979115400476
123,-812.3057131000471
124,-842.0883077600471
125,-842.9538469800468
126,-943.3329388000469
127,-942.906707400047
128,-961.6284475000468
129,-961.168576760047
130,-971.8951341400472
131,-978.501720840047
132,-963.4152255000472
133,-999.9710064400472
134,-1009.7371956000469
135,-1011.8438967000471
136,-1030.7573910200474
137,-999.5969809000472
138,-994.9829012200469
139,-967.9427612400467
140,-959.9983869000466
141,-951.2168222200467
142,-947.0325674600466
143,-954.8590543800464
144,-944.4440352200463
145,-958.3190152200461
146,-966.1211460600459
147,-976.1446711800457
148,-967.1449998000456
149,-983.7837959600458
150,-986.4181455800457
151,-956.1723861200458
152,-1018.6325550800461
153,-1025.5785297800458
154,-1025.328780140046
155,-1027.8363583600458
156,-1030.4151082400458
157,-981.1505443600458
158,-954.353366260046
159,-1000.2447128800461
160,-1014.8864103000465
161,-1153.3455344600468
162,-1221.968789860047
163,-1223.347104420047
164,-1241.7643935200472
165,-1154.9858765200472
166,-1161.3821424800472
167,-1182.908225660047
168,-1199.884613060047
169,-1111.5886324200471
170,-1178.3058249200471
171,-1229.8515752600472
172,-1173.2597242800475
173,-1080.2016309000476
174,-1040.0551249200473
175,-1016.4448001400473
176,-993.7742806600471
177,-978.9996230000474
178,-1003.9700951000474
179,-1009.0084097800468
180,-1004.4862643200469
181,-1037.314966100047
182,-993.9097364000468
183,-997.605072800047
184,-987.2087199800468
185,-1005.9442352400467
186,-1019.8981728600468
187,-1035.2855256800465
188,-1037.9260641400463
189,-1054.2036117200464
190,-1047.7071264800466
191,-1048.9083603600468
192,-1079.7143096600469
193,-1090.629027740047
194,-1057.6679646400473
195,-1080.2256875200471
196,-1037.220736020047
197,-1035.2611696000472
198,-1030.8722838400472
199,-1024.5191401200473
200,-1031.1043653400468
201,-1035.0010386800466
202,-1034.9424443400464
203,-1032.5662292400461
204,-1035.8923314600459
205,-1051.9716365200456
206,-1056.7213715800456
207,-1053.319406160046
208,-1056.5479842400457
209,-1056.8536330800462
210,-1065.1896012800462
211,-1069.1724192800464
212,-1117.367112400047
213,-1209.5527789800472
214,-1212.4788026400468
215,-1204.2355672200467
216,-1211.5006664600467
217,-1206.1675833200468
218,-1190.8050856800467
219,-1180.5928009400466
220,-1168.8698403200463
221,-1121.4671190800464
222,-1128.2905148200462
223,-1104.052521880046
224,-1126.246700320046
225,-1154.4244888400458
226,-1137.3811222200457
227,-1129.6459706000455
228,-1121.9075249200455
229,-1099.4573081800454
230,-1111.2284818600453
231,-1117.1295408000456
232,-1114.2016205600457
233,-1095.1096480800456
234,-1094.5548485200457
235,-1060.933476120046
236,-1060.651484620046
237,-1062.1388026200457
238,-1067.1696308000455
239,-1062.0424763200451
240,-1085.2359527800454
241,-1095.9474373400458
242,-1104.3831257200452
243,-1107.8067520800455
244,-1102.1915776200453
245,-1105.1007317000453
246,-1061.2354316200451
247,-1396.3590214000433
248,-1477.6168934800428
249,-1638.47153302004
250,-1203.4901114600316
251,-1862.904724800031
252,-2646.2311946000327
253,-2273.316551380036
254,-1672.829676840036
255,-1747.1896874600395
256,-1743.754082700039
257,-1943.9957976600394
258,-1296.0193584800402
259,-1937.5179787600362
260,-1913.286374300035
261,-2015.3637037800381
262,-1520.2348428400333
263,-1354.776305260033
264,-987.8068414200296
265,-1397.0699394400308
266,-1435.9946486200358
267,-1419.0623816600273
268,-1420.5046808400296
269,-663.9165951600277
270,-984.2866891200295
271,-961.1119788200272
272,-281.79415586002426
273,-1170.8320020600204
274,-1549.2921453800195
275,-1521.2759654400238
276,-2309.970754840022
277,-3217.4569341600245
278,-3365.7793723400237
279,-3506.2549603200255
280,-3256.5980531000246
281,-1207.0680595400172
282,-1743.3856470800138
283,-1504.2198218600147
284,-1741.0739157000123
285,-2809.668876280005
286,-1908.9435055600036
287,-3715.5368735800034
288,-1726.361645540006
289,-2741.424737240004
290,-2830.606919840005
291,-3073.6476576400046
292,-3015.4672711800085
293,-3149.6484096000013
294,-4793.577401480002
295,-4018.0918924999937
296,-3844.0359581399935
297,-3668.854253819998
298,-3220.4842751200035
299,-3521.7136844400075
300,-3503.9223665600134
301,-3541.7240009200063
302,-3538.1063244800007
303,-3712.1814242799965
304,-3090.235545599997
305,-1961.5232912800018
306,-1547.0843266200006
307,-1327.4472862
308,-505.8697924000062
309,-360.87944564000804
310,-453.9554068000119
311,273.7565496399879
312,32.686158819985764
313,-195.28804764001598
314,-502.5508772200212
315,-418.7338199800255
316,-626.632327860031
317,-792.1891881400313
318,-675.6465431800293
319,-558.4463838800345
320,-1021.6901415000372
321,729.5660131199573
322,1105.5152841599527
323,979.8197441199445
324,1149.2365439799457
325,1186.9560264799443
326,1669.0190483399374
327,1640.1328372799358
328,1658.1154102799424
329,1581.986489439944
330,1641.3830827799452
331,1535.6414609199376
332,1280.6013609199376
333,840.513347799937
334,-135.1170507400626
335,-130.83696878006435
336,268.7521737599336
337,445.9895711599343
338,655.3116120599295
339,757.840427399937
340,971.8998256799412
341,1171.5656790599417
342,700.0940582999438
343,577.0518336799435
344,312.94138973993637
345,267.4307565999353
346,515.0025238399412
347,74.3556185399404
348,-149.45579446005613
349,-326.66913524005446
350,-322.25908764005663
351,-404.58752922005084
352,-800.3813157200577
353,-805.6086894800637
354,-355.7344233800569
355,-80.05384324005672
356,666.6279059999366
357,281.7671046399313
358,273.39969313993157
359,217.14174005993766
360,94.74694795993778
361,722.888554219935
362,876.6041671799351
