s1,s2,beta,mean,std,half_life,pvalue,hurst,mean_crossings
HVHUSDT,VPADUSDT,0.8649323166498454,0.22171743265725524,0.26991072501137864,1.3208477715854254,0.03065544989483305,0,35
ROOTUSDT,VANRYUSDT,0.8955436160944635,0.10190396732318578,0.2669746804913609,0.6108336346733508,0.016311595142535905,0,43
ALGOBTC,BNBUSDT,0.5898699965217102,0.15784317935172967,0.26484009929307967,1.6298075949751658,0.004756121421531576,0,9
APEUSDT,WBTCBTC,0.2940659195389003,0.38521938339867823,0.2639964268010988,1.7864126919942773,0.049297845889035546,0,17
APEUSDC,WBTCBTC,0.28767224223082183,0.3867379045304913,0.26183290718338553,1.7458919616653383,0.04943181575940458,0,19
DOGEEUR,WBTCBTC,0.3264209832708734,0.4402443826662091,0.25816253499776026,1.3747594725082344,0.03100124527900321,0,13
TOKENUSDT,WBTCBTC,0.6233031917559121,0.22717793833740452,0.2580134009308429,0.8864929238803029,0.030921371740114653,0,41
JSTUSDT,THNUSDT,0.6485308315215688,0.39401741692642284,0.2555636986724383,1.2055084286924183,0.04589763843476761,0,22
INTERUSDT,XDCUSDT,0.5240415829093159,0.28828556094154945,0.2549000221718232,0.9012102767475209,0.045116736733638085,0,58
HVHUSDT,XDCUSDT,0.8988019475179073,0.16149520689801236,0.2542353243785203,1.424530882647575,0.01146507139807519,0,101
APEUSDT,BCHUSDT,0.44060185410252667,0.3188906296143298,0.2507024182837148,2.6208983290824412,0.034808912908816304,0,15
TOKENUSDT,XDCUSDT,0.45860497752200785,0.2968047667184418,0.25002622194793933,2.0046308375719257,0.03439267267126218,0,30
APEUSDT,PSTAKEUSDT,0.7666239123413238,0.25845842516372286,0.2489841772239104,0.9663966665530053,0.020083019530765713,0,27
APEUSDC,BCHUSDT,0.43510368198382543,0.3202071826058187,0.24870811779638347,2.416757516439531,0.03601921453676197,0,17
DOGEUSDT,PSTAKEUSDT,0.8123337131209186,0.2892784506410491,0.24802159694824857,0.8500094660890826,0.01935397702513269,0,51
JSTUSDT,PSTAKEUSDT,0.6189922359675483,0.33222165753880745,0.2472630109233834,1.1014207440519985,0.03743146214868991,0,16
APEUSDC,PSTAKEUSDT,0.7558144746170925,0.2609148221227619,0.24707894542993358,0.94835233843742,0.020758100966003838,0,29
JSTUSDT,PYUSDUSDT,0.5732914929834078,0.11659858873922821,0.2459379680094926,0.8359996583518973,0.045479389873538445,0,25
LTCBTC,TAPUSDT,1.3006320037436845,0.3782108294586795,0.2458884479094053,0.7133726852184773,0.00510932895231763,0,30
DOGEUSDC,PSTAKEUSDT,0.7989386880914879,0.29813030149042063,0.2456736771231158,0.8359952938315902,0.018125433252385,0,45
FMCUSDT,PSTAKEUSDT,0.11645612997799795,0.3617408565336275,0.24414918773334518,2.652732764502733,0.04755332164418276,0,53
JSTUSDT,WBTCBTC,0.6541791909275784,0.2770488389628574,0.24401614194947904,0.6974934620609671,0.009896259087863611,0,27
