,0
1INCHUSDT,0.4481
5IREUSDT,0.30117
AAVEUSDT,103.0603
ACHUSDT,0.022852
ACSUSDT,0.0036233
ADAEUR,0.5674
ADAUSDC,0.6247
ADAUSDT,0.6246
AFCUSDT,1.5324
AGIUSDT,0.06386
AGLAUSDT,0.04255
AGLDUSDT,1.5732
AIOZUSDT,0.1809
AKIUSDT,0.03105
ALGOBTC,5.45e-06
ALGOUSDT,0.23696
ANKRUSDT,0.03158
APEUSDC,1.7928
APEUSDT,1.7932
APEXUSDC,0.319
APEXUSDT,0.3228
APPUSDT,0.045526
APTUSDC,10.4309
APTUSDT,10.4346
ARBUSDC,1.386
ARBUSDT,1.388
ARKMUSDT,0.67521
ARTYUSDT,2.1399
ARUSDT,10.564
ATOMUSDT,11.8525
AVAUSDT,0.6858
AVAXUSDC,47.7623
AVAXUSDT,47.7538
AXLUSDT,1.1421
AXSUSDT,10.4754
BABYDOGEUSDT,1.454e-09
BATUSDT,0.2631
BCHUSDT,235.0
BEAMUSDT,0.020956
BELUSDT,0.7578
BICOUSDT,0.4297
BLURUSDT,0.52644
BNBUSDT,266.5278
BOBAUSDT,0.27202
BONKUSDT,1.87017e-05
BTCBRZ,214758.2
BTCDAI,43719.47
BTCEUR,39541.94
BTCUSDC,43552.0
BTCUSDT,43542.0
BTTUSDT,1.2199e-06
C98USDT,0.2917
CAKEUSDT,2.9263
CAPSUSDT,0.026601
CBKUSDT,0.9089
CELOUSDT,0.7178
CGPTUSDT,0.136742
CHRPUSDT,0.006998
CHZUSDC,0.0901
CHZUSDT,0.0902
CITYUSDT,3.1302
COMPUSDT,58.1
COQUSDT,2.646e-06
COREUSDT,0.5502
COTUSDT,0.028067
CRVUSDT,0.6481
CTCUSDT,0.471408
CYBERUSDT,7.278
DAIUSDT,0.9995
DGBUSDT,0.00979
DOGEEUR,0.08556
DOGEUSDC,0.09432
DOGEUSDT,0.09428
DOMEUSDT,0.000986
DOTBTC,0.00021381
DOTUSDC,9.313
DOTUSDT,9.308
DUELUSDT,0.01435
DYDXUSDT,3.063
EGLDUSDT,72.13
EGOUSDT,0.03544
ENJUSDT,0.39658
ENSUSDT,9.776
ERTHAUSDT,0.002246
ETCUSDT,21.43
ETHBTC,0.052158
ETHDAI,2273.87
ETHEUR,2060.99
ETHUSDC,2271.14
ETHUSDT,2270.64
ETHWUSDT,3.2917
EVERUSDT,0.03738
FETUSDT,0.7371
FIDAUSDT,0.4065
FILUSDC,5.779
FILUSDT,5.765
FITFIUSDT,0.00899
FLIPUSDT,4.7846
FLOKIUSDT,3.7168e-05
FLOWUSDT,1.0004
FLRUSDT,0.01708
FMBUSDT,0.02322
FMCUSDT,0.001227
FORTUSDT,0.1532
FTTUSDT,3.6494
FXSUSDT,8.4114
GALAUSDT,0.03549
GALFTUSDT,1.83813
GENEUSDT,0.5659
GLMRUSDT,0.5473
GMTUSDC,0.3003
GMTUSDT,0.2997
GMXUSDT,47.3748
GODSUSDT,0.416
GRTUSDT,0.19674
GSTUSDT,0.01538
GSWIFTUSDT,0.58905
HBARUSDT,0.09247
HFTUSDC,0.3897
HFTUSDT,0.3909
HNTUSDT,7.3464
HOOKUSDT,1.285
HVHUSDT,0.02408
ICPUSDC,9.4655
ICPUSDT,9.4585
ICXUSDT,0.26631
IDUSDT,0.34537
IMXUSDT,2.42797
INJUSDT,43.2981
INSPUSDT,0.17036
INTERUSDT,2.3753
IZIUSDT,0.015143
JASMYUSDT,0.007277
JEFFUSDT,0.14119
JSTUSDT,0.03222
JTOUSDT,2.77596
JUVUSDT,2.4938
KASTAUSDT,0.033802
KASUSDT,0.10975
KAVAUSDT,0.886
KCALUSDT,0.1726
KCSUSDT,10.8408
KDAUSDT,1.405
KSMUSDT,58.0033
KUBUSDT,2.3603
LADYSUSDT,8.916e-08
LDOUSDC,2.552
LDOUSDT,2.5545
LINKUSDC,15.5919
LINKUSDT,15.578
LMWRUSDT,0.3558
LOOKSUSDT,0.0917
LRCUSDT,0.3046
LTCBTC,0.001657
LTCEUR,65.49
LTCUSDC,72.16
LTCUSDT,72.15
LUNAUSDT,0.9693
LUNCUSDC,0.00016008
LUNCUSDT,0.00016029
MAGICUSDT,1.1151
MANABTC,1.287e-05
MANAUSDC,0.564
MANAUSDT,0.564
MASKUSDT,3.7466
MBOXUSDT,0.3884
MBXUSDT,0.837
MCRTUSDT,0.002235
MDAOUSDT,0.20972
MEEUSDT,0.00992
MEMEUSDT,0.03077
METHETH,1.0121
METHUSDT,2310.83
MINAUSDT,1.187
MIXUSDT,0.003276
MKRUSDT,1405.0
MNTBTC,1.396e-05
MNTUSDC,0.6084
MNTUSDT,0.6086
MOVRUSDT,31.788
MPLXUSDT,0.39603
MVLUSDT,0.004512
MVUSDT,0.04803
MXUSDT,2.7554
MYRIAUSDT,0.011655
NEARUSDT,4.2589
NEONUSDT,1.99004
NEXOUSDT,0.9097
NFTUSDT,4.546e-07
NYMUSDT,0.1911
OASUSDT,0.089777
OMGUSDT,0.927
ONEUSDT,0.02155
OPUSDC,3.4022
OPUSDT,3.3984
ORDIUSDT,75.9073
ORTUSDT,0.004127
PENDLEUSDT,1.1725
PEOPLEUSDT,0.01416
PEPEUSDT,1.4059e-06
PERPUSDT,0.8681
PIPUSDT,0.14359
POLUSDT,0.9086
PORT3USDT,0.12702
PPTUSDT,0.1642
PRIMEUSDT,10.021
PSGUSDT,3.3802
PSTAKEUSDT,0.05594
PYTHUSDT,0.3693
PYUSDUSDT,0.9989
QNTUSDT,138.1
QTUMUSDT,3.3751
RACAUSDT,0.00018495
RATSUSDT,0.0002105
RDNTUSDT,0.2951
ROOTUSDT,0.046086
ROSEUSDT,0.13332
RPKUSDT,0.0519
RPLUSDT,29.0203
RSS3USDT,0.13719
RUNEUSDT,5.8355
