s1,s2,reason
SOLEUR,SOLUSDC,pvalue
SOLEUR,SOLUSDT,pvalue
BTCEUR,BTCUSDT,pvalue
BTCEUR,BTCUSDC,pvalue
BTCEUR,WBTCUSDT,pvalue
ETHEUR,ETHUSDT,pvalue
LTCEUR,LTCUSDT,pvalue
ETHEUR,ETHUSDC,pvalue
ETHEUR,STETHUSDT,pvalue
LTCEUR,LTCUSDC,pvalue
SOLBTC,SOLUSDT,pvalue
SOLBTC,SOLUSDC,pvalue
XRPEUR,XRPUSDC,pvalue
SOLBTC,SOLEUR,pvalue
XRPEUR,XRPUSDT,pvalue
GLMRUSDT,KSMUSDT,pvalue
ETHBTC,XLMBTC,pvalue
ARBUSDT,SEIUSDT,pvalue
ARBUSDC,SEIUSDT,pvalue
DOTUSDT,FLOWUSDT,pvalue
DOTUSDC,FLOWUSDT,pvalue
SDUSDT,SEIUSDT,pvalue
AXSUSDT,GLMRUSDT,pvalue
GLMRUSDT,SCRTUSDT,pvalue
AXSUSDT,KSMUSDT,pvalue
ONEUSDT,XTZUSDT,pvalue
BNBUSDT,NEONUSDT,pvalue
MINAUSDT,NEONUSDT,pvalue
LOOKSUSDT,TOMIUSDT,pvalue
MANAUSDT,XLMUSDT,pvalue
MANAUSDC,XLMUSDT,pvalue
OPUSDC,ROSEUSDT,pvalue
OPUSDT,ROSEUSDT,pvalue
MANAUSDT,XLMUSDC,pvalue
MANAUSDC,XLMUSDC,pvalue
BTCBRZ,NEXOUSDT,pvalue
PYTHUSDT,ZRXUSDT,pvalue
ALGOUSDT,AVAXUSDC,pvalue
ALGOUSDT,AVAXUSDT,pvalue
KSMUSDT,QNTUSDT,pvalue
FMBUSDT,NEONUSDT,pvalue
HBARUSDT,MDAOUSDT,pvalue
APTUSDC,SOLEUR,pvalue
APTUSDT,SOLEUR,pvalue
NEARUSDT,ONEUSDT,pvalue
DOTUSDC,SOLEUR,pvalue
DOTUSDT,SOLEUR,pvalue
DGBUSDT,DOTUSDT,pvalue
DGBUSDT,DOTUSDC,pvalue
APTUSDC,SOLUSDT,pvalue
NEARUSDT,WAVESUSDT,pvalue
APTUSDC,SOLUSDC,pvalue
ADAUSDC,AVAXUSDC,pvalue
APTUSDT,SOLUSDT,pvalue
APTUSDT,SOLUSDC,pvalue
APEUSDT,LTCUSDC,pvalue
ADAUSDC,AVAXUSDT,pvalue
FETUSDT,WOOUSDT,pvalue
ADAUSDT,AVAXUSDC,pvalue
ADAUSDT,AVAXUSDT,pvalue
CELOUSDT,NEARUSDT,pvalue
BNBUSDT,OPUSDC,pvalue
BNBUSDT,OPUSDT,pvalue
CRVUSDT,XRPUSDT,pvalue
BTCEUR,NEXOUSDT,pvalue
APEUSDT,LTCUSDT,pvalue
ADAEUR,AVAXUSDC,pvalue
APEUSDC,LTCUSDC,pvalue
CRVUSDT,XRPUSDC,pvalue
BICOUSDT,SHIBUSDT,pvalue
ADAEUR,AVAXUSDT,pvalue
BATUSDT,THETAUSDT,pvalue
APTUSDT,NEARUSDT,pvalue
APTUSDC,NEARUSDT,pvalue
ETHBTC,LTCBTC,pvalue
BICOUSDT,SHIBUSDC,pvalue
DOTUSDC,SOLUSDT,pvalue
ONEUSDT,SOLBTC,pvalue
OPUSDC,SOLBTC,pvalue
OPUSDT,SOLBTC,pvalue
DOTUSDC,SOLUSDC,pvalue
DOTUSDT,SOLUSDT,pvalue
DOTUSDT,SOLUSDC,pvalue
DOTUSDT,XTZUSDT,pvalue
ETHUSDT,FXSUSDT,pvalue
PYTHUSDT,YFIUSDT,pvalue
MNTUSDC,STETHUSDT,pvalue
DOTUSDC,XTZUSDT,pvalue
MNTUSDT,STETHUSDT,pvalue
GLMRUSDT,MAGICUSDT,pvalue
APEUSDC,LTCUSDT,pvalue
ETHUSDC,MNTUSDC,pvalue
ETHUSDC,FXSUSDT,pvalue
ETHUSDC,MNTUSDT,pvalue
MANAUSDT,SANDUSDC,pvalue
MANAUSDC,SANDUSDC,pvalue
KSMUSDT,ONEUSDT,pvalue
ETHUSDT,MNTUSDC,pvalue
MANAUSDT,SANDUSDT,pvalue
MANAUSDC,SANDUSDT,pvalue
ETHUSDT,MNTUSDT,pvalue
ONEUSDT,SOLEUR,pvalue
ETCUSDT,POLUSDT,pvalue
ONEUSDT,SOLUSDT,pvalue
ONEUSDT,SOLUSDC,pvalue
KSMUSDT,MAGICUSDT,pvalue
NEARUSDT,SOLUSDT,beta_out_of_range (0.04)
NEARUSDT,SOLUSDC,beta_out_of_range (0.04)
NEARUSDT,SOLEUR,beta_out_of_range (0.05)
LTCEUR,XRPUSDT,beta_out_of_range (121.24)
LTCEUR,XRPUSDC,beta_out_of_range (121.38)
AVAXUSDC,IMXUSDT,beta_out_of_range (21.64)
AVAXUSDT,IMXUSDT,beta_out_of_range (21.64)
DGBUSDT,FLOWUSDT,beta_out_of_range (0.01)
NEARUSDT,SOLBTC,beta_out_of_range (1955.11)
XRPUSDC,YFIUSDT,beta_out_of_range (0.00)
DOTBTC,DOTUSDT,beta_out_of_range (0.00)
XRPUSDT,YFIUSDT,beta_out_of_range (0.00)
ALGOBTC,ALGOUSDT,beta_out_of_range (0.00)
DOTBTC,DOTUSDC,beta_out_of_range (0.00)
XRPEUR,YFIUSDT,beta_out_of_range (0.00)
ONEUSDT,QNTUSDT,beta_out_of_range (0.00)
C98USDT,ONEUSDT,beta_out_of_range (13.33)
VRAUSDT,ZRXUSDT,beta_out_of_range (0.03)
LTCUSDT,XRPUSDT,beta_out_of_range (126.55)
RACAUSDT,YFIUSDT,beta_out_of_range (0.00)
DOTUSDC,HBARUSDT,beta_out_of_range (100.19)
DOTUSDT,HBARUSDT,beta_out_of_range (100.14)
LTCUSDC,XRPUSDT,beta_out_of_range (126.26)
ONEUSDT,WAVESUSDT,beta_out_of_range (0.01)
LUNAUSDT,LUNCUSDT,beta_out_of_range (3328.21)
LTCBTC,XLMBTC,beta_out_of_range (683.38)
LTCUSDT,XRPUSDC,beta_out_of_range (126.73)
DOGEEUR,FLOKIUSDT,beta_out_of_range (1793.80)
LUNAUSDT,LUNCUSDC,beta_out_of_range (3330.92)
RACAUSDT,XRPUSDT,beta_out_of_range (0.00)
LTCUSDC,XRPUSDC,beta_out_of_range (126.45)
ACHUSDT,SPELLUSDT,beta_out_of_range (27.45)
NEXOUSDT,WBTCUSDT,beta_out_of_range (0.00)
ALGOUSDT,IMXUSDT,beta_out_of_range (0.08)
RACAUSDT,XRPUSDC,beta_out_of_range (0.00)
BTCUSDC,NEXOUSDT,beta_out_of_range (39572.07)
AXSUSDT,QNTUSDT,beta_out_of_range (0.07)
JASMYUSDT,MANAUSDC,beta_out_of_range (0.02)
JASMYUSDT,MANAUSDT,beta_out_of_range (0.02)
BTCUSDT,NEXOUSDT,beta_out_of_range (39463.46)
ROSEUSDT,SOLBTC,beta_out_of_range (52.72)
DOTBTC,SANDUSDT,beta_out_of_range (0.00)
DOTBTC,SANDUSDC,beta_out_of_range (0.00)
LTCEUR,XRPEUR,beta_out_of_range (123.85)
LTCBTC,XRPBTC,beta_out_of_range (114.34)
KDAUSDT,KSMUSDT,beta_out_of_range (0.03)
DOTUSDT,SANDUSDT,beta_out_of_range (17.95)
DOTUSDT,SANDUSDC,beta_out_of_range (17.95)
ARUSDT,OMGUSDT,beta_out_of_range (10.18)
PEPEUSDT,TOKENUSDT,beta_out_of_range (0.00)
APTUSDT,ONEUSDT,beta_out_of_range (411.31)
DOTUSDC,SANDUSDT,beta_out_of_range (17.95)
DOTUSDC,SANDUSDC,beta_out_of_range (17.95)
FLOKIUSDT,XRPEUR,beta_out_of_range (0.00)
APTUSDC,ONEUSDT,beta_out_of_range (411.83)
CITYUSDT,JSTUSDT,beta_out_of_range (39.53)
ENSUSDT,VELOUSDT,beta_out_of_range (1979.85)
SPELLUSDT,TWTUSDT,beta_out_of_range (0.00)
ONEUSDT,THETAUSDT,beta_out_of_range (0.02)
DOGEUSDC,FLOKIUSDT,beta_out_of_range (1853.60)
ALGOUSDT,DOTUSDC,beta_out_of_range (0.03)
DOGEUSDT,FLOKIUSDT,beta_out_of_range (1857.23)
ALGOUSDT,DOTUSDT,beta_out_of_range (0.03)
GALAUSDT,MANAUSDT,beta_out_of_range (0.07)
GALAUSDT,MANAUSDC,beta_out_of_range (0.07)
MANAUSDC,ZILUSDT,beta_out_of_range (20.52)
MANAUSDT,ZILUSDT,beta_out_of_range (20.52)
QTUMUSDT,XLMUSDC,beta_out_of_range (33.64)
NEARUSDT,ROSEUSDT,beta_out_of_range (35.41)
INJUSDT,WOOUSDT,beta_out_of_range (98.06)
QTUMUSDT,XLMUSDT,beta_out_of_range (33.65)
LUNAUSDT,TOKENUSDT,beta_out_of_range (16.15)
BTCDAI,NEXOUSDT,beta_out_of_range (41064.80)
ENJUSDT,JASMYUSDT,beta_out_of_range (44.98)
YFIUSDT,ZRXUSDT,beta_out_of_range (12375.30)
GALFTUSDT,JSTUSDT,beta_out_of_range (47.39)
COMPUSDT,STGUSDT,beta_out_of_range (80.60)
SANDBTC,SANDUSDC,beta_out_of_range (0.00)
SANDBTC,SANDUSDT,beta_out_of_range (0.00)
FLOKIUSDT,LUNAUSDT,beta_out_of_range (0.00)
DOTUSDT,KASTAUSDT,beta_out_of_range (156.38)
AXSUSDT,C98USDT,beta_out_of_range (27.43)
DGBUSDT,XTZUSDT,beta_out_of_range (0.01)
DOTUSDC,KASTAUSDT,beta_out_of_range (156.39)
BTTUSDT,SFUNDUSDT,beta_out_of_range (0.00)
FLOKIUSDT,TOKENUSDT,beta_out_of_range (0.00)
BELUSDT,XEMUSDT,beta_out_of_range (20.36)
UMAUSDT,ZILUSDT,beta_out_of_range (75.16)
LTCEUR,YFIUSDT,beta_out_of_range (0.01)
AXSUSDT,SCRTUSDT,beta_out_of_range (16.02)
AXSUSDT,ONEUSDT,beta_out_of_range (402.05)
ONEUSDT,SANDUSDC,beta_out_of_range (0.04)
LINKUSDT,XRPUSDC,beta_out_of_range (29.56)
ONEUSDT,SANDUSDT,beta_out_of_range (0.04)
MAGICUSDT,ONEUSDT,beta_out_of_range (48.91)
BICOUSDT,DOTUSDT,beta_out_of_range (0.04)
LINKUSDC,XRPUSDC,beta_out_of_range (29.52)
ROSEUSDT,SOLUSDC,beta_out_of_range (0.00)
ROSEUSDT,SOLUSDT,beta_out_of_range (0.00)
MANABTC,SPELLUSDT,beta_out_of_range (0.01)
BICOUSDT,DOTUSDC,beta_out_of_range (0.04)
CRVUSDT,LTCEUR,beta_out_of_range (0.01)
EGLDUSDT,SANDUSDT,beta_out_of_range (140.97)
OPUSDT,SOLUSDC,beta_out_of_range (0.04)
OPUSDC,SOLUSDC,beta_out_of_range (0.04)
OPUSDT,SOLUSDT,beta_out_of_range (0.04)
EGLDUSDT,SANDUSDC,beta_out_of_range (140.88)
OPUSDC,SOLUSDT,beta_out_of_range (0.04)
VRAUSDT,ZENUSDT,beta_out_of_range (0.00)
LINKUSDT,XRPUSDT,beta_out_of_range (29.37)
ICXUSDT,LINKUSDT,beta_out_of_range (0.01)
ICXUSDT,LINKUSDC,beta_out_of_range (0.01)
1INCHUSDT,FILUSDC,beta_out_of_range (0.05)
ENJUSDT,SLPUSDT,beta_out_of_range (82.48)
C98USDT,QNTUSDT,beta_out_of_range (0.00)
LINKUSDC,XRPUSDT,beta_out_of_range (29.33)
ALGOBTC,EGLDUSDT,beta_out_of_range (0.00)
LINKUSDT,XRPEUR,beta_out_of_range (28.43)
IZIUSDT,TUSDUSDT,beta_out_of_range (0.04)
1INCHUSDT,FILUSDT,beta_out_of_range (0.05)
COMPUSDT,POLUSDT,beta_out_of_range (44.59)
LINKUSDC,XRPEUR,beta_out_of_range (28.38)
AGLDUSDT,ONEUSDT,beta_out_of_range (73.29)
MANAUSDT,RVNUSDT,beta_out_of_range (21.40)
MANAUSDC,RVNUSDT,beta_out_of_range (21.38)
DOTBTC,FIDAUSDT,beta_out_of_range (0.00)
GRTUSDT,QNTUSDT,beta_out_of_range (0.00)
