pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ORDIUSDT-SOLEUR,12/03-03/02,13.198494,0.0,122,0.108184375,484,550,2881,3.2813187,-4.0072327
ORDIUSDT-SOLUSDC,12/03-03/02,-0.8998213,0.0,120,-0.0074985106,486,547,2881,2.7594953,-5.1045303
ORDIUSDT-SOLUSDT,12/03-03/02,-2.940998,0.0,117,-0.025136735,478,550,2881,2.596901,-5.0240097
AAVEUSDT-PRIMEUSDT,12/03-03/02,30.463326,0.0,109,0.27948004,345,422,2881,3.7211728,-6.8497467
EGLDUSDT-PRIMEUSDT,12/03-03/02,37.43782,0.0,111,0.33727765,382,427,2881,4.4802747,-2.288086
KSMUSDT-SOLEUR,12/03-03/02,19.838081,0.0,111,0.17872146,393,457,2881,3.0599823,-3.930519
KSMUSDT-SOLUSDT,12/03-03/02,11.731178,0.0,110,0.106647074,381,453,2881,2.9233093,-3.903061
KSMUSDT-SOLUSDC,12/03-03/02,13.295509,0.0,110,0.120868266,378,441,2881,2.9221954,-3.9032898
COMPUSDT-ETHWUSDT,12/03-03/02,19.153625,0.0,118,0.16231886,411,454,2881,5.4863586,-8.15316
COMPUSDT-UNIUSDT,12/03-03/02,9.900137,0.0,114,0.086843304,390,438,2881,5.724701,-6.3493195
PRIMEUSDT-WAVESUSDT,12/03-03/02,10.765909,0.0,99,0.10874656,345,509,2881,25.744946,-4.2851715
PRIMEUSDT-THETAUSDT,12/03-03/02,8.207645,0.0,114,0.07199689,389,498,2881,26.43687,-26.344147
DOTUSDC-QTUMUSDT,12/03-03/02,31.268967,0.0,127,0.24621233,386,443,2881,3.6451612,-2.3580704
ARUSDT-COMPUSDT,12/03-03/02,-112.10376,0.0,110,-1.0191251,425,540,2881,21.47519,-19.689789
RUNEUSDT-TWTUSDT,12/03-03/02,-0.76299953,0.0,118,-0.0064660977,441,488,2881,2.0946808,-2.7243347
DOTUSDC-PRIMEUSDT,12/03-03/02,45.14479,0.0,126,0.35829198,375,412,2881,4.1455426,-2.933693
DOTUSDT-PRIMEUSDT,12/03-03/02,48.149216,0.0,126,0.38213664,356,431,2881,4.105885,-2.992218
DOTUSDC-POLUSDT,12/03-03/02,37.85186,0.0,117,0.32352018,371,430,2881,2.4255795,-2.239746
DOTUSDT-POLUSDT,12/03-03/02,41.446545,0.0,117,0.35424396,354,437,2881,2.4232144,-2.1958313
ATOMUSDT-SFUNDUSDT,12/03-03/02,34.070873,0.0,126,0.27040374,400,452,2881,2.5946698,-2.7860184
